Nr;Event;0-CMM;0-CMM Basic;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-CMM Basic;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
16;;0.5749797278564537;0.07299999999999995;0.005109663650054271;0.015654640849042094;0.9;1.0;0.073;0.0;100.0;2.0;;;;;;3709.4343073192686;0.9964560462107634;3722.6271258277607;0.38073694475593545;0.5254474474474474;;;;;;;;;;;;;;;;;;;;;
17;;0.5763910975251316;0.05300000000000005;0.004939930573670387;0.009901070915502155;0.975;1.0;0.053;0.0;100.0;2.0;;;;;;3364.2559638690113;0.5981624394331564;5624.318315702203;0.3840168753431699;0.5094394394394395;;;;;;;;;;;;;;;;;;;;;
18;;0.6165718886012485;0.05800000000000005;0.005556956867649864;0.011765569093585046;0.9625;1.0;0.058;0.0;100.0;2.0;;;;;;4282.905407033403;1.350922364936165;3170.356430686365;0.3298993649163334;0.5348528528528529;;;;;;;;;;;;;;;;;;;;;
19;;0.5748784028451067;0.04300000000000004;0.004641319765232314;0.007970151623402397;0.9907407407407407;1.0;0.043;0.0;100.0;2.0;;;;;;4084.7089154098626;0.2516147802979585;16233.978427550286;0.23734146201864031;0.4995035035035035;;;;;;;;;;;;;;;;;;;;;
20;;0.6165533220657633;0.052000000000000046;0.004678962019428182;0.010295638786654158;0.992063492063492;1.0;0.052;0.0;100.0;2.0;;;;;;3414.5800874757538;2.91169633892674;1172.7116051993175;0.2815707466931251;0.5017617617617618;;;;;;;;;;;;;;;;;;;;;
21;;0.6025385666931511;0.04800000000000004;0.00491932500840187;0.011361603149042762;0.9649122807017545;1.0;0.048;0.0;100.0;2.0;;;;;;3691.594093493771;2.281206623658013;1618.2637974170623;0.2504202361163357;0.5893373373373373;;;;;;;;;;;;;;;;;;;;;
22;;0.6002672334434539;0.052000000000000046;0.005130316688980817;0.009870337995337996;0.9914529914529914;1.0;0.052;0.0;100.0;2.0;;;;;;4570.764471834552;1.627942404613008;2807.6942150303576;0.36970847406727314;0.5068808808808809;;;;;;;;;;;;;;;;;;;;;
23;;0.5616390338797375;0.040000000000000036;0.0055800160828544595;0.012461136366451549;1.0;1.0;0.04;0.0;100.0;2.0;;;;;;3813.714618656321;4.126738238459759;924.1474497010333;0.505868771232528;0.5163683683683684;;;;;;;;;;;;;;;;;;;;;
24;;0.6026763059454794;0.052000000000000046;0.005721037737910159;0.011094736842105263;0.9912280701754386;1.0;0.052;0.0;100.0;2.0;;;;;;4384.881357260911;4.128424205841858;1062.119864294991;0.4198655960854124;0.5308528528528529;;;;;;;;;;;;;;;;;;;;;
25;;0.5940615795612165;0.05900000000000005;0.005834506927095433;0.012089166616595566;0.9875;1.0;0.059;0.0;100.0;2.0;;;;;;4330.001607825687;3.763134129161538;1150.6370645338789;0.5298761459706808;0.506102102102102;;;;;;;;;;;;;;;;;;;;;
26;;0.6283139013917091;0.06499999999999995;0.005582906214399544;0.0147208576712206;0.9746376811594202;1.0;0.065;0.0;100.0;2.0;;;;;;4280.207754715071;5.513337199761424;776.3370168797741;0.37916355261041007;0.5161721721721722;;;;;;;;;;;;;;;;;;;;;
27;;0.6133607299238619;0.06699999999999995;0.005276384522788073;0.0147208576712206;0.9948979591836735;1.0;0.067;0.0;100.0;2.0;;;;;;5127.784470958727;8.268882516882584;620.1302848951265;0.3912474576599722;0.509983983983984;;;;;;;;;;;;;;;;;;;;;
28;;0.6285114673280456;0.07399999999999995;0.00605009783750846;0.014233045746388444;1.0;1.0;0.074;0.0;100.0;2.0;;;;;;4020.8925773755545;0.8336610908425186;4823.174095017365;0.5396303055688205;0.5233233233233233;;;;;;;;;;;;;;;;;;;;;
29;;0.6157247934760532;0.07799999999999996;0.0063906918345035734;0.010819127025484505;0.9761904761904763;1.0;0.078;0.0;100.0;2.0;;;;;;4210.111199289789;1.2731817404048376;3306.76372875964;0.5736443855020678;0.5221141141141141;;;;;;;;;;;;;;;;;;;;;
30;;0.6489552347423952;0.06899999999999995;0.005627100113573249;0.014253403141361257;1.0;1.0;0.069;0.0;100.0;2.0;;;;;;4435.731398557042;1.589460683592198;2790.714765295258;0.4286708897122341;0.5265285285285285;;;;;;;;;;;;;;;;;;;;;
31;;0.6014955986690735;0.06399999999999995;0.005821027816281146;0.012886796507832239;1.0;1.0;0.064;0.0;100.0;2.0;;;;;;4412.812854714713;1.51135411963361;2919.774258983387;0.5099388921658238;0.5127447447447447;;;;;;;;;;;;;;;;;;;;;
32;;0.6104824694738392;0.06000000000000005;0.0047677455378586486;0.008032674744678553;0.99;1.0;0.06;0.0;100.0;2.0;;;;;;4530.02584751086;0.42948070256080084;10547.681934253034;0.2797714557091388;0.503993993993994;;;;;;;;;;;;;;;;;;;;;
33;;0.572300860179675;0.03500000000000003;0.00451614862660421;0.008409449742230263;1.0;1.0;0.035;0.0;100.0;2.0;;;;;;4498.38767342733;1.4828457687556416;3033.618039185719;0.3239472859922975;0.5184844844844845;;;;;;;;;;;;;;;;;;;;;
34;;0.6135277870887026;0.07499999999999996;0.005883212279870498;0.02261316608386;0.96875;1.0;0.075;0.0;100.0;2.0;;;;;;4782.093782675114;2.6591070752631767;1798.3833096310427;0.46265440634671956;0.505947947947948;;;;;;;;;;;;;;;;;;;;;
35;;0.6315835346571389;0.05600000000000005;0.005185480468198747;0.009367069711897298;0.9534883720930233;1.0;0.056;0.0;100.0;2.0;;;;;;5059.178786905044;9.558703400458974;529.2745862019445;0.28343137194283247;0.5718158158158159;;;;;;;;;;;;;;;;;;;;;
36;;0.6318104254274512;0.061000000000000054;0.005825374067671701;0.011791296652191457;0.9473684210526315;1.0;0.061;0.0;100.0;2.0;;;;;;4671.864232373327;0.7750950078991828;6027.4729997757895;0.480994219122483;0.5319499499499499;;;;;;;;;;;;;;;;;;;;;
37;;0.6590738302252179;0.07299999999999995;0.005951843762737481;0.011880140233281149;0.9797872340425531;1.0;0.073;0.0;100.0;2.0;;;;;;4499.690322481203;24.75068412063138;181.8006444003867;0.4595914056904603;0.5396296296296297;;;;;;;;;;;;;;;;;;;;;
38;;0.6512380686773627;0.05700000000000005;0.005442368871577344;0.012219894623246368;0.9918699186991871;1.0;0.057;0.0;100.0;2.0;;;;;;4506.425532230953;0.4243378153847521;10619.900863996585;0.42397840903236755;0.5012632632632633;;;;;;;;;;;;;;;;;;;;;
39;;0.6191490303180287;0.06000000000000005;0.005177971204038045;0.012067510885950428;0.9767441860465116;1.0;0.06;0.0;100.0;2.0;;;;;;4150.546698091283;1.7212661342208668;2411.333503618854;0.40810055579539734;0.5008188188188188;;;;;;;;;;;;;;;;;;;;;
40;;0.6146549041155617;0.05900000000000005;0.005191480745250836;0.010108277419149679;0.981060606060606;1.0;0.059;0.0;100.0;2.0;;;;;;4734.693639160958;1.193694882584343;3966.41864536637;0.35972048883450125;0.5018858858858859;;;;;;;;;;;;;;;;;;;;;
41;;0.5879344561015054;0.05600000000000005;0.005475377159592192;0.013879354558724898;0.9875;1.0;0.056;0.0;100.0;2.0;;;;;;4018.8013244828926;2.023335073030803;1986.2262944234105;0.4027540606047828;0.49955955955955955;;;;;;;;;;;;;;;;;;;;;
42;;0.621434185282915;0.04700000000000004;0.005098900443737534;0.008007050032099975;1.0;1.0;0.047;0.0;100.0;2.0;;;;;;4486.257228403002;2.7919750510114163;1606.840013408364;0.3975642205291756;0.5021601601601602;;;;;;;;;;;;;;;;;;;;;
43;;0.6148736382771773;0.050000000000000044;0.005130149620518914;0.008569660499754602;0.9428571428571428;1.0;0.05;0.0;100.0;2.0;;;;;;4580.875114802861;0.9337041717679753;4906.131142296326;0.26902041001547305;0.5297357357357357;;;;;;;;;;;;;;;;;;;;;
44;;0.6240938797031936;0.05800000000000005;0.006130621162280384;0.017335039474637243;0.9932432432432432;1.0;0.058;0.0;100.0;2.0;;;;;;4580.303812693167;0.345790091630266;13245.908207198225;0.4935516785376983;0.5088108108108108;;;;;;;;;;;;;;;;;;;;;
