Nr;Event;0-CMM;0-CMM Basic;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-CMM Basic;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
0;;0.5466280873915248;0.04200000000000004;0.004698720039274978;0.007969265938531877;0.9595959595959597;1.0;0.042;0.0;100.0;2.0;;;;;;4066.375732976828;1.5536317377729598;2617.3356491839822;0.25284351928678284;0.4994774774774775;;;;;;;;;;;;;;;;;;;;;
1;;0.4940021144397482;0.031000000000000028;0.0045214747143090765;0.007599800754287341;1.0;1.0;0.031;0.0;100.0;2.0;;;;;;2871.936983455206;1.5216581307656487;1887.3733366180884;0.15106161024451353;0.5724524524524525;;;;;;;;;;;;;;;;;;;;;
2;;0.6105013868887142;0.06899999999999995;0.005040058978073369;0.009910182579674106;0.9519230769230769;1.0;0.069;0.0;100.0;2.0;;;;;;5088.688393337139;2.589191888004123;1965.3577693153331;0.2998880947730054;0.513001001001001;;;;;;;;;;;;;;;;;;;;;
3;;0.5750758934494746;0.052000000000000046;0.004594531635719458;0.009991019308486754;0.9761904761904762;1.0;0.052;0.0;100.0;2.0;;;;;;3306.4896137629944;0.9491687640673917;3483.5634493427465;0.2837909690519056;0.515023023023023;;;;;;;;;;;;;;;;;;;;;
4;;0.5670828043003991;0.04600000000000004;0.004346699648231963;0.010240473676009764;0.9871794871794872;1.0;0.046;0.0;100.0;2.0;;;;;;5172.846922858449;1.4563372730001478;3551.9566921486903;0.23358917724362294;0.5309409409409409;;;;;;;;;;;;;;;;;;;;;
5;;0.5335116396413673;0.04600000000000004;0.004730944033070296;0.008186562296151337;0.9868421052631579;1.0;0.046;0.0;100.0;2.0;;;;;;3374.8152689961535;0.967484563170165;3488.2368127279133;0.2951598586276848;0.5110850850850851;;;;;;;;;;;;;;;;;;;;;
6;;0.5701920974914465;0.05600000000000005;0.004874276089447316;0.01051781248985159;0.9651162790697675;1.0;0.056;0.0;100.0;2.0;;;;;;4446.899926131765;0.0847897512813543;52446.196137264305;0.29504186948609357;0.5096036036036036;;;;;;;;;;;;;;;;;;;;;
7;;0.5842773973266336;0.061000000000000054;0.005160152816321143;0.0098746902992186;0.9469696969696969;1.0;0.061;0.0;100.0;2.0;;;;;;3761.185112839993;0.2989971836909988;12579.33291012875;0.3562902639145651;0.502048048048048;;;;;;;;;;;;;;;;;;;;;
8;;0.55093690373253;0.040000000000000036;0.004795621438534039;0.007989559460147694;0.967741935483871;1.0;0.04;0.0;100.0;2.0;;;;;;4126.388345077047;3.309507139846705;1246.8286577765716;0.3539233070348606;0.49964164164164165;;;;;;;;;;;;;;;;;;;;;
9;;0.5416711063663626;0.04200000000000004;0.005447935476013157;0.011882691038174034;0.9135802469135802;1.0;0.042;0.0;100.0;2.0;;;;;;3756.802361254853;5.962522708297968;630.0692752124128;0.3993628895140969;0.4995435435435435;;;;;;;;;;;;;;;;;;;;;
10;;0.5724652190640889;0.05300000000000005;0.0049684827800596165;0.011788970305887755;0.9625;1.0;0.053;0.0;100.0;2.0;;;;;;3683.9635753352477;3.212203924019364;1146.8647889345646;0.3258543332183236;0.4996936936936937;;;;;;;;;;;;;;;;;;;;;
11;;0.6026568941244623;0.07699999999999996;0.005008465210262271;0.008051226328472392;0.9741379310344828;1.0;0.077;0.0;100.0;2.0;;;;;;3167.811652015051;3.1981036132959724;990.5281488832995;0.362300721476674;0.5038078078078078;;;;;;;;;;;;;;;;;;;;;
12;;0.6114148159792169;0.08599999999999997;0.005930329018105258;0.01189756238314894;0.9101307189542485;1.0;0.086;0.0;100.0;2.0;;;;;;5614.0743695971805;6.013631247488223;933.5581346032932;0.4748041369718567;0.4996076076076076;;;;;;;;;;;;;;;;;;;;;
13;;0.5737617378407514;0.05700000000000005;0.005224288560868107;0.009956277920349775;0.9761904761904762;1.0;0.057;0.0;100.0;2.0;;;;;;3361.872687565161;1.4736667279941902;2281.2978156472395;0.3847996009251492;0.4998038038038038;;;;;;;;;;;;;;;;;;;;;
14;;0.5614498759112685;0.04400000000000004;0.004433997837868716;0.008145119418483905;0.9774774774774776;1.0;0.044;0.0;100.0;2.0;;;;;;3900.780422347665;3.861109733939222;1010.2744265618086;0.21263459459849465;0.5065585585585586;;;;;;;;;;;;;;;;;;;;;
15;;0.5816247943462102;0.06000000000000005;0.005296014169618158;0.009882771562964587;0.9883720930232558;1.0;0.06;0.0;100.0;2.0;;;;;;3682.086266052072;2.727473230860493;1349.999048346446;0.5058138930233302;0.5061601601601602;;;;;;;;;;;;;;;;;;;;;
