Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;
1;;1.0;1.0;-9.339801278705393;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-9.339801278705393;-1.0;1.0;;;;;;0.0;0.0;
2;;1.0;1.0;-8.20015760498387;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.20015760498387;-1.0;1.0;;;;;;0.0;0.0;
3;;1.0;1.0;-8.322511148429419;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.322511148429419;-1.0;1.0;;;;;;0.0;0.0;
4;;1.0;1.0;-8.629152330381293;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.629152330381293;-1.0;1.0;;;;;;0.0;0.0;
5;;1.0;1.0;-8.163870830716697;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.163870830716697;-1.0;1.0;;;;;;0.0;0.0;
6;;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
7;;1.0;1.0;-7.983796260728393;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.983796260728393;-1.0;1.0;;;;;;0.0;0.0;
8;;1.0;1.0;-7.985269576493726;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.985269576493726;-1.0;1.0;;;;;;0.0;0.0;
9;;1.0;1.0;-7.966503227883834;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.966503227883834;-1.0;1.0;;;;;;0.0;0.0;
10;;1.0;1.0;-7.976178231808593;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.976178231808593;-1.0;1.0;;;;;;0.0;0.0;
11;;1.0;1.0;-8.041274258794745;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.041274258794745;-1.0;1.0;;;;;;0.0;0.0;
12;;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;
13;;1.0;1.0;-7.965899306996825;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.965899306996825;-1.0;1.0;;;;;;0.0;0.0;
14;;1.0;1.0;-8.126374297423563;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.126374297423563;-1.0;1.0;;;;;;0.0;0.0;
15;;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
16;;1.0;1.0;-8.571721653944921;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.571721653944921;-1.0;1.0;;;;;;0.0;0.0;
17;;1.0;1.0;-8.184203183819971;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.184203183819971;-1.0;1.0;;;;;;0.0;0.0;
18;;1.0;1.0;-8.61935930974555;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.61935930974555;-1.0;1.0;;;;;;0.0;0.0;
19;;1.0;1.0;-7.967625034335905;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.967625034335905;-1.0;1.0;;;;;;0.0;0.0;
