Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-numCluster;0-numClasses;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-numCluster;1-numClasses;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;1.0;1.0;-7.9668196033580205;0.003992014822784075;0.003992588607973224;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.9668196033580205;0.003992014822784075;0.003992588607973224;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
1;;1.0;1.0;-9.339801278705393;0.003990466086575879;0.004766956712036804;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-9.339801278705393;0.003990466086575879;0.004766956712036804;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
2;;1.0;1.0;-8.20015760498387;0.003991755800559571;0.004122099720256706;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.20015760498387;0.003991755800559571;0.004122099720256706;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
3;;1.0;1.0;-8.322511148429419;0.0039916192706590786;0.004190364670458347;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.322511148429419;0.0039916192706590786;0.004190364670458347;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
4;;1.0;1.0;-8.629152330381293;0.003991275007074949;0.004362496462546531;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.629152330381293;0.003991275007074949;0.004362496462546531;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
5;;1.0;1.0;-8.163870830716697;0.003991796198577786;0.004101900711077997;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.163870830716697;0.003991796198577786;0.004101900711077997;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
6;;1.0;1.0;-8.149318490387959;0.003991812387645023;0.0040938061774799805;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.149318490387959;0.003991812387645023;0.0040938061774799805;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
7;;1.0;1.0;-7.983796260728393;0.003991996037958934;0.0040019810205451;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.983796260728393;0.003991996037958934;0.0040019810205451;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
8;;1.0;1.0;-7.985269576493726;0.003991994407270627;0.004002796364725856;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.985269576493726;0.003991994407270627;0.004002796364725856;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
9;;1.0;1.0;-7.966503227883834;0.0039920151727654936;0.0039924136172383015;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.966503227883834;0.0039920151727654936;0.0039924136172383015;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
