Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-numCluster;0-numClasses;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-numCluster;1-numClasses;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
10;;1.0;1.0;-7.976178231808593;0.003992004468560472;0.0039977657197574215;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.976178231808593;0.003992004468560472;0.0039977657197574215;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
11;;1.0;1.0;-8.041274258794745;0.003991932367149668;0.004033816425120773;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.041274258794745;0.003991932367149668;0.004033816425120773;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
12;;1.0;1.0;-7.966043089511855;0.003992015681774733;0.003992159112641041;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.966043089511855;0.003992015681774733;0.003992159112641041;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
13;;1.0;1.0;-7.965899306996825;0.003992015840826696;0.0039920795866086045;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.965899306996825;0.003992015840826696;0.0039920795866086045;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
14;;1.0;1.0;-8.126374297423563;0.003991837898381064;0.0040810508094898685;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.126374297423563;0.003991837898381064;0.0040810508094898685;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
15;;1.0;1.0;-8.149318490387959;0.003991812387645025;0.0040938061774799805;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.149318490387959;0.003991812387645025;0.0040938061774799805;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
16;;1.0;1.0;-8.571721653944921;0.003991339708989974;0.004330145504989175;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.571721653944921;0.003991339708989974;0.004330145504989175;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
17;;1.0;1.0;-8.184203183819971;0.0039917735678659805;0.004113216066993699;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.184203183819971;0.0039917735678659805;0.004113216066993699;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
18;;1.0;1.0;-8.61935930974555;0.003991286047239746;0.0043569763801440155;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.61935930974555;0.003991286047239746;0.0043569763801440155;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
19;;1.0;1.0;-7.967625034335905;0.003992013931783679;0.003993034108162607;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.967625034335905;0.003992013931783679;0.003993034108162607;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
20;;1.0;1.0;-8.056976892445046;0.003991914953704657;0.004042523147681197;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.056976892445046;0.003991914953704657;0.004042523147681197;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
21;;1.0;1.0;-9.763951182951983;0.003989976241090379;0.005011879454795549;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-9.763951182951983;0.003989976241090379;0.005011879454795549;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
22;;1.0;1.0;-8.121980015684898;0.0039918427822462545;0.0040786088768764855;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.121980015684898;0.0039918427822462545;0.0040786088768764855;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
23;;1.0;1.0;-8.28925159707638;0.0039916564315007055;0.004171784249640902;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.28925159707638;0.0039916564315007055;0.004171784249640902;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
24;;1.0;1.0;-8.425598729462289;0.003991503866503831;0.004248066748066747;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.425598729462289;0.003991503866503831;0.004248066748066747;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
25;;1.0;1.0;-8.063687241608411;0.003991907509782394;0.004046245108768076;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.063687241608411;0.003991907509782394;0.004046245108768076;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
26;;1.0;1.0;-8.205611367846275;0.003991749725196709;0.004125137401657465;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.205611367846275;0.003991749725196709;0.004125137401657465;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
27;;1.0;1.0;-8.205611367846275;0.003991749725196696;0.004125137401657465;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.205611367846275;0.003991749725196696;0.004125137401657465;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
28;;1.0;1.0;-8.394611591865145;0.003991538591454215;0.00423070427292687;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.394611591865145;0.003991538591454215;0.00423070427292687;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
29;;1.0;1.0;-8.28925159707638;0.003991656431500704;0.004171784249640902;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.28925159707638;0.003991656431500704;0.004171784249640902;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
30;;1.0;1.0;-8.409948790108066;0.003991521408021678;0.004239295989169064;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.409948790108066;0.003991521408021678;0.004239295989169064;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
31;;1.0;1.0;-8.158954057060644;0.003991801669121243;0.004099165439371625;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.158954057060644;0.003991801669121243;0.004099165439371625;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
32;;1.0;1.0;-8.024435537995686;0.003991951031424727;0.004024484287642183;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.024435537995686;0.003991951031424727;0.004024484287642183;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
33;;1.0;1.0;-8.36486311904169;0.003991571899603009;0.004214050198506157;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.36486311904169;0.003991571899603009;0.004214050198506157;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
34;;1.0;1.0;-8.149318490387959;0.003991812387645015;0.0040938061774799805;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.149318490387959;0.003991812387645015;0.0040938061774799805;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
35;;1.0;1.0;-9.216388507481806;0.00399060764417776;0.004696177911091322;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-9.216388507481806;0.00399060764417776;0.004696177911091322;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
36;;1.0;1.0;-8.659071953892045;0.003991241258741239;0.004379370629370629;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.659071953892045;0.003991241258741239;0.004379370629370629;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
37;;1.0;1.0;-8.78713208061474;0.003991096499022607;0.004451750488715123;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.78713208061474;0.003991096499022607;0.004451750488715123;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
38;;1.0;1.0;-7.995337095936989;0.003991983262460171;0.004008368769926834;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.995337095936989;0.003991983262460171;0.004008368769926834;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
39;;1.0;1.0;-8.05051242297679;0.003991922123465747;0.004038938267126187;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.05051242297679;0.003991922123465747;0.004038938267126187;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
40;;1.0;1.0;-7.993512675524299;0.003991985282354803;0.004007358822588385;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.993512675524299;0.003991985282354803;0.004007358822588385;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
41;;1.0;1.0;-7.9668196033580205;0.003992014822784075;0.003992588607973224;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-7.9668196033580205;0.003992014822784075;0.003992588607973224;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
42;;1.0;1.0;-8.001163351162365;0.003991976811222854;0.004011594388572161;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.001163351162365;0.003991976811222854;0.004011594388572161;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
43;;1.0;1.0;-8.508653656395188;0.003991410643258815;0.0042946783705938825;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.508653656395188;0.003991410643258815;0.0042946783705938825;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
44;;1.0;1.0;-8.135356799740038;0.003991827913141008;0.004086043429503517;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;1.0;1.0;-8.135356799740038;0.003991827913141008;0.004086043429503517;1.0;1.0;1.0;1000.0;2.0;;;;;;0.0;0.0;
