learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,1.54884E-4,3.4619271755218504E-13,10.0,0.0,0.0,0.15456349206349207,0.0,?,0.0,0.2,10.0,8640.0
20.0,0.004628976,1.034656763076782E-11,20.0,0.0,0.0,0.24874150273531076,0.0,?,0.0,0.2,20.0,8640.0
30.0,0.006154729,1.3756891340017318E-11,30.0,0.0,0.0,0.276112880668223,0.0,?,0.0,0.2,30.0,8640.0
40.0,0.007149165,1.597962900996208E-11,40.0,0.0,0.0,0.3229322098270541,0.0,?,0.0,0.2,40.0,8640.0
50.0,0.008118044,1.8145242333412168E-11,50.0,0.0,0.0,0.32844518096897185,0.0,?,0.0,0.2,50.0,8640.0
60.0,0.009009591,2.013800516724586E-11,60.0,0.0,0.0,0.3105039990652723,0.0,?,0.0,0.2,60.0,8640.0
70.0,0.009851916,2.202074825763702E-11,70.0,0.0,0.0,0.30263503233935685,0.0,?,0.0,0.2,70.0,8640.0
80.0,0.010736811,2.3998642712831493E-11,80.0,0.0,0.0,0.2951418027622602,0.0,?,0.0,0.2,80.0,8640.0
90.0,0.011610699,2.5951934605836865E-11,90.0,0.0,0.0,0.2966263808556247,0.0,?,0.0,0.2,90.0,8640.0
100.0,0.012466912,2.7865719795227046E-11,100.0,0.0,0.0,0.31687007342580137,0.0,?,0.0,0.2,100.0,8640.0
110.0,0.013365555,2.987434342503547E-11,110.0,0.0,0.0,0.3063463358578414,0.0,?,0.0,0.2,110.0,8640.0
120.0,0.014242949,3.1835471838712686E-11,120.0,0.0,0.0,0.3070262978945165,0.0,?,0.0,0.2,120.0,8640.0
130.0,0.01513792,3.383588790893554E-11,130.0,0.0,0.0,0.30284653759112273,0.0,?,0.0,0.2,130.0,8640.0
140.0,0.015982056,3.572267889976501E-11,140.0,0.0,0.0,0.3034842051149651,0.0,?,0.0,0.2,140.0,8640.0
150.0,0.016868655,3.770438209176063E-11,150.0,0.0,0.0,0.29973809161102927,0.0,?,0.0,0.2,150.0,8640.0
160.0,0.017684936,3.952891230583191E-11,160.0,0.0,0.0,0.31239502278189357,0.0,?,0.0,0.2,160.0,8640.0
170.0,0.018535512,4.143009781837463E-11,170.0,0.0,0.0,0.3054652105326242,0.0,?,0.0,0.2,170.0,8640.0
180.0,0.01934291,4.3234772980213166E-11,180.0,0.0,0.0,0.30609994359795495,0.0,?,0.0,0.2,180.0,8640.0
190.0,0.020164713,4.50716458261013E-11,190.0,0.0,0.0,0.30318561832122415,0.0,?,0.0,0.2,190.0,8640.0
200.0,0.020978052,4.6889600157737734E-11,200.0,0.0,0.0,0.3035883467943809,0.0,?,0.0,0.2,200.0,8640.0
210.0,0.021838803,4.8813528567552566E-11,210.0,0.0,0.0,0.3008396800939021,0.0,?,0.0,0.2,210.0,8640.0
220.0,0.022661064,5.065142512321472E-11,220.0,0.0,0.0,0.3071769103396937,0.0,?,0.0,0.2,220.0,8640.0
