learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,2.7003E-5,6.035640835762023E-14,10.0,0.0,0.0,0.020000000000000028,0.0,?,0.0,0.2,10.0,8640.0
20.0,5.37138E-4,1.2005969882011412E-12,20.0,0.0,0.0,0.010000000000000028,0.0,?,0.0,0.2,20.0,8640.0
30.0,7.77482E-4,1.7378076910972596E-12,30.0,0.0,0.0,0.006666666666666695,0.0,?,0.0,0.2,30.0,8640.0
40.0,0.001034723,2.3127861320972445E-12,40.0,0.0,0.0,0.005000000000000028,0.0,?,0.0,0.2,40.0,8640.0
50.0,0.001248682,2.7910217642784122E-12,50.0,0.0,0.0,0.004000000000000028,0.0,?,0.0,0.2,50.0,8640.0
60.0,0.00149801,3.3483132719993593E-12,60.0,0.0,0.0,0.0033333333333333613,0.0,?,0.0,0.2,60.0,8640.0
70.0,0.001736823,3.8821019232273104E-12,70.0,0.0,0.0,0.002857142857142885,0.0,?,0.0,0.2,70.0,8640.0
80.0,0.001961723,4.384792596101761E-12,80.0,0.0,0.0,0.002500000000000028,0.0,?,0.0,0.2,80.0,8640.0
90.0,0.00215575,4.818476736545563E-12,90.0,0.0,0.0,0.00222222222222225,0.0,?,0.0,0.2,90.0,8640.0
100.0,0.002351081,5.255075544118881E-12,100.0,0.0,0.0,0.002000000000000028,0.0,?,0.0,0.2,100.0,8640.0
110.0,0.002544716,5.687883496284485E-12,110.0,0.0,0.0,0.001818181818181846,0.0,?,0.0,0.2,110.0,8640.0
120.0,0.002745363,6.136364489793777E-12,120.0,0.0,0.0,0.0016666666666666945,0.0,?,0.0,0.2,120.0,8640.0
130.0,0.002943316,6.578823924064636E-12,130.0,0.0,0.0,0.0015384615384615662,0.0,?,0.0,0.2,130.0,8640.0
140.0,0.003136576,7.0107936859130855E-12,140.0,0.0,0.0,0.0014285714285714563,0.0,?,0.0,0.2,140.0,8640.0
