Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-numCluster;0-numClasses;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-numCluster;1-numClasses;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.5466280873915248;-1.0;0.5759896141786004;-1.0;0.9595959595959597;100.0;2.0;;;;;;2.611035439847459;0.25284351928678284;0.5466280873915248;-1.0;0.5759896141786004;-1.0;0.9595959595959597;100.0;2.0;;;;;;2.611035439847459;0.25284351928678284;
1;;0.5392971461604166;-1.0;0.5477758143970046;-1.0;0.9827586206896551;100.0;2.0;;;;;;3.6736169428502765;0.4166848082125938;0.4940021144397482;-1.0;0.6381338778698146;-1.0;1.0;100.0;2.0;;;;;;5.554669323200416;0.15106161024451353;
2;;0.6278492423110763;-1.0;0.20887832846248244;-1.0;0.9625850340136055;100.0;2.0;;;;;;3.2578469530354264;0.5053472626661566;0.6105013868887142;-1.0;0.2952094052233246;-1.0;0.9519230769230769;100.0;2.0;;;;;;2.2822270604873967;0.2998880947730054;
3;;0.5607481456199229;-1.0;0.6039880331165728;-1.0;0.9464285714285714;100.0;2.0;;;;;;4.418995382726717;0.40606202007085757;0.5750758934494746;-1.0;0.45412842053820335;-1.0;0.9761904761904762;100.0;2.0;;;;;;3.670216933710745;0.2837909690519056;
4;;0.6654672925671026;-1.0;0.3536957445103821;-1.0;0.9430894308943089;100.0;2.0;;;;;;3.3285106002254796;0.43847091235966906;0.5670828043003991;-1.0;0.49853344544518297;-1.0;0.9871794871794872;100.0;2.0;;;;;;2.43019597465868;0.23358917724362294;
5;;0.6455369835513685;-1.0;0.21363067094747634;-1.0;0.9629629629629629;100.0;2.0;;;;;;3.3783517785861688;0.38080926439635854;0.5335116396413673;-1.0;0.5270161529955779;-1.0;0.9868421052631579;100.0;2.0;;;;;;3.528960792263361;0.2951598586276848;
6;;0.5512914246462952;-1.0;0.6414981564129002;-1.0;0.9642857142857143;100.0;2.0;;;;;;3.680509754655727;0.30585960632847753;0.5701920974914465;-1.0;0.43058121181141207;-1.0;0.9651162790697675;100.0;2.0;;;;;;1.9008347262073177;0.29504186948609357;
7;;0.469756442625911;-1.0;0.7808657640074078;-1.0;0.9444444444444444;100.0;2.0;;;;;;4.650569058897208;0.45837473168967596;0.5842773973266336;-1.0;0.3925385501475884;-1.0;0.9469696969696969;100.0;2.0;;;;;;1.8552878235715586;0.3562902639145651;
8;;0.5758701330121774;-1.0;0.5397079612520495;-1.0;0.9833333333333333;100.0;2.0;;;;;;2.5674547001977936;0.5889250753585312;0.55093690373253;-1.0;0.5971785265486306;-1.0;0.967741935483871;100.0;2.0;;;;;;1.8579575859560111;0.3539233070348606;
9;;0.6168913729786533;-1.0;0.29710387500240654;-1.0;0.9263565891472869;100.0;2.0;;;;;;2.2542890489795986;0.4763004041664732;0.5416711063663626;-1.0;0.5868145767583363;-1.0;0.9135802469135802;100.0;2.0;;;;;;2.245166845291656;0.3993628895140969;
10;;0.5975098139896551;-1.0;0.373200753999554;-1.0;0.9696969696969698;100.0;2.0;;;;;;2.1175426917443168;0.42625141388306476;0.5724652190640889;-1.0;0.4722174702551454;-1.0;0.9625;100.0;2.0;;;;;;1.9430077456402761;0.3258543332183236;
11;;0.6029642835287736;-1.0;0.390822713156444;-1.0;0.9401709401709402;100.0;2.0;;;;;;6.701120323631161;0.49685036909818125;0.6026568941244623;-1.0;0.22899074016936516;-1.0;0.9741379310344828;100.0;2.0;;;;;;7.521020486921504;0.362300721476674;
12;;0.6378762564885124;-1.0;0.2372157730255431;-1.0;0.9052083333333333;100.0;2.0;;;;;;6.2910313337871795;0.6724402547491773;0.6114148159792169;-1.0;0.16582788386123726;-1.0;0.9101307189542485;100.0;2.0;;;;;;2.2720547220181793;0.4748041369718567;
13;;0.612720195737744;-1.0;0.302969516085155;-1.0;0.9445402298850575;100.0;2.0;;;;;;6.391869387226914;0.694626850928771;0.5737617378407514;-1.0;0.43827982645772745;-1.0;0.9761904761904762;100.0;2.0;;;;;;2.404359805772812;0.3847996009251492;
14;;0.7009377235586943;0.1114917952493163;0.011933893940774487;0.021560037760416362;0.8861111111111111;100.0;2.0;;;;;;3.740109854404251;0.4873003844316455;0.5614498759112685;-1.0;0.543946808137771;-1.0;0.9774774774774776;100.0;2.0;;;;;;2.4519093175127575;0.21263459459849465;
15;;0.6847836534065965;0.1392391987094861;0.016575708455811022;0.029624743940330916;0.9372549019607842;100.0;2.0;;;;;;3.2163010281120332;0.5598499325905881;0.5816247943462102;-1.0;0.39656817814671064;-1.0;0.9883720930232558;100.0;2.0;;;;;;2.445515799355712;0.5058138930233302;
16;;0.6970802236318885;0.3318824894323612;-0.2835136874081641;-3.8906577970692098;0.8988636363636364;100.0;2.0;;;;;;2.239889137667967;0.6497587942040728;0.5749797278564537;-1.0;0.23524951294748486;-1.0;0.9;100.0;2.0;;;;;;1.7200966609829604;0.38073694475593545;
