Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-numCluster;0-numClasses;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-numCluster;1-numClasses;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
29;;0.6107684953512051;-1.0;0.9360181150139989;-1.0;1.0;2.0;2.0;;;;;;1275.5752155662833;1.0;0.618297843918405;-1.0;0.658391840684641;-1.0;0.6557377049180327;2.0;2.0;;;;;;1162.8878042966976;1.0;
30;;0.6333568984799596;-1.0;0.7374095546609196;-1.0;0.7659574468085106;2.0;2.0;;;;;;1237.3548116371576;1.0;0.6120670220731476;-1.0;0.688421776244939;-1.0;0.7457627118644068;2.0;2.0;;;;;;1165.8646019177872;1.0;
31;;0.759253807004518;-1.0;0.45589063158383236;-1.0;0.7640712945590994;2.0;2.0;;;;;;1210.3526188169612;0.9242797933360791;0.7196728693398692;-1.0;0.5938484594751461;-1.0;0.86;2.0;2.0;;;;;;1183.426997266963;0.9295184658965577;
32;;0.6102220426075964;-1.0;0.643858607846131;-1.0;0.5970149253731343;2.0;2.0;;;;;;1164.7861353398841;1.0;0.5834467119396642;-1.0;0.7609179254805011;-1.0;0.5384615384615384;2.0;2.0;;;;;;1170.2147671032615;1.0;
33;;0.6119887454370929;-1.0;0.8327113080830437;-1.0;0.8928571428571429;2.0;2.0;;;;;;1191.987839884876;1.0;0.6100757049432071;-1.0;0.8458272831448111;-1.0;0.8333333333333334;2.0;2.0;;;;;;1175.5411603844007;1.0;
34;;0.5472771583095764;-1.0;0.6276220227165145;-1.0;0.6142857142857143;2.0;2.0;;;;;;1154.6277656737282;1.0;0.5374888622799647;-1.0;0.6847306541758146;-1.0;0.6785714285714286;2.0;2.0;;;;;;1158.3212213219485;1.0;
35;;0.5937747430153464;-1.0;0.8825175769004856;-1.0;1.0;2.0;2.0;;;;;;1205.0343647812226;1.0;0.6124851919289259;-1.0;0.7169968892834575;-1.0;0.9090909090909091;2.0;2.0;;;;;;1166.6445456163738;1.0;
36;;0.7104500216214574;-1.0;0.621942270897929;-1.0;0.79;2.0;2.0;;;;;;1183.426760777066;0.9035683941958728;0.7276200265992365;-1.0;0.6194398445956772;-1.0;0.7972972972972974;2.0;2.0;;;;;;1192.7852750435197;0.9408173357698378;
37;;0.5623867654295658;-1.0;0.7436582109863301;-1.0;0.85;2.0;2.0;;;;;;1209.1803896074098;1.0;0.5672529764688055;-1.0;0.6758146757656559;-1.0;0.7962962962962963;2.0;2.0;;;;;;1193.2340826496468;1.0;
38;;0.5701519952008964;-1.0;0.7213547671922295;-1.0;0.5208333333333334;2.0;2.0;;;;;;1180.1167531146941;1.0;0.7148680134138103;-1.0;0.6171995961965487;-1.0;0.6602272727272727;2.0;2.0;;;;;;1191.0845855795026;0.9328872921899938;
39;;0.576911360833684;-1.0;0.6659454973170382;-1.0;0.5245901639344263;2.0;2.0;;;;;;1172.3008756287275;1.0;0.5553722396158778;-1.0;0.7027457013507067;-1.0;0.5769230769230769;2.0;2.0;;;;;;1174.7814482599408;1.0;
40;;0.5810887937354638;-1.0;0.603821838899963;-1.0;0.5384615384615384;2.0;2.0;;;;;;1152.9434690919547;1.0;0.6876330295638466;-1.0;0.605353031229307;-1.0;0.7538461538461538;2.0;2.0;;;;;;1165.8766889305434;0.9284912967798549;
41;;0.7063222586973443;-1.0;0.3531034384159989;-1.0;0.8215444516547696;2.0;2.0;;;;;;1187.5771193399266;0.9482923849052782;0.534589671864579;-1.0;0.6964215171023116;-1.0;0.9552238805970149;2.0;2.0;;;;;;1160.5306931529415;1.0;
42;;0.6819172476431798;-1.0;0.6031858961004906;-1.0;0.9393939393939394;2.0;2.0;;;;;;1184.373100030818;0.9350501465364505;0.536939024974849;-1.0;0.7018862390942413;-1.0;0.9047619047619048;2.0;2.0;;;;;;1160.470025958332;1.0;
43;;0.6883707433354324;-1.0;0.32622005997596737;-1.0;0.6863774523348991;2.0;2.0;;;;;;1170.5626731956813;0.9069246626068572;0.5806133056423084;-1.0;0.5913872788747946;-1.0;0.5921052631578947;2.0;2.0;;;;;;1137.763803944936;1.0;
44;;0.5927553165777839;-1.0;0.5875142210739007;-1.0;0.5555555555555556;2.0;2.0;;;;;;1136.1990764610664;1.0;0.597529079193948;-1.0;0.6971288593619844;-1.0;0.660377358490566;2.0;2.0;;;;;;1144.2793013972093;1.0;
