Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;
1;;0.9946746050007;1.0;-9.33069829115937;-1.0;1.0;;;;;;0.0020990712159999984;0.0;1.0;1.0;-9.339801278705393;-1.0;1.0;;;;;;0.0;0.0;
2;;0.8433963948605855;0.9709356232454607;-6.129397222015776;-1.0;1.0;;;;;;0.576658225025;0.0;1.0;1.0;-8.20015760498387;-1.0;1.0;;;;;;0.0;0.0;
3;;0.7550663462734366;0.9680424974436155;-5.732724227083639;-1.0;1.0;;;;;;1.2159763202370004;0.0;1.0;1.0;-8.322511148429419;-1.0;1.0;;;;;;0.0;0.0;
4;;0.4775597246824246;0.7104180185320934;-1.293684614356783;-1.0;1.0;;;;;;5.114042147062993;0.0;1.0;1.0;-8.629152330381293;-1.0;1.0;;;;;;0.0;0.0;
5;;0.49256203358649076;0.7314445305540526;-1.4552267437173918;-1.0;1.0;;;;;;5.895911603939006;0.0;1.0;1.0;-8.163870830716697;-1.0;1.0;;;;;;0.0;0.0;
6;;0.5583186386107132;0.7804883268245916;-1.9844192544239894;-1.0;1.0;;;;;;7.770702452841001;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
7;;0.5671062987737363;0.838247313498004;-2.579901385501625;-1.0;1.0;;;;;;6.5750160306329954;0.0;1.0;1.0;-7.983796260728393;-1.0;1.0;;;;;;0.0;0.0;
8;;0.4548642400661268;0.46643536641871786;-0.4657486823343828;-632.72664172505;1.0;;;;;;10.736197898916004;0.0;1.0;1.0;-7.985269576493726;-1.0;1.0;;;;;;0.0;0.0;
9;;0.44033997196768526;0.4661647997350493;-0.4615487603591166;-93.22181546481906;1.0;;;;;;10.478149292776003;0.0;1.0;1.0;-7.966503227883834;-1.0;1.0;;;;;;0.0;0.0;
10;;0.42148655433189275;0.2674492044011184;-0.10227953527087497;-0.3312300675875468;1.0;;;;;;16.527339249031005;0.0;1.0;1.0;-7.976178231808593;-1.0;1.0;;;;;;0.0;0.0;
11;;0.9788336152002238;0.9721284573868919;-6.423447327240268;-1.0;1.0;;;;;;3.427973141749999;0.0;1.0;1.0;-8.041274258794745;-1.0;1.0;;;;;;0.0;0.0;
12;;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;
13;;0.9077639655646553;0.9872638793542599;-6.844028534929018;-1.0;1.0;;;;;;0.1903301640819999;0.0;1.0;1.0;-7.965899306996825;-1.0;1.0;;;;;;0.0;0.0;
14;;0.5026043967321381;0.7824927268449328;-1.94185283916695;-1.0;1.0;;;;;;3.2809555915719986;0.0;1.0;1.0;-8.126374297423563;-1.0;1.0;;;;;;0.0;0.0;
15;;0.525480425277535;0.6647448907129699;-1.1811331740963524;-1.0;1.0;;;;;;7.6626139141179985;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
16;;0.4923107268836533;0.46107272810010813;-0.4734986885969119;-1.0;1.0;;;;;;11.782801530018013;0.0;1.0;1.0;-8.571721653944921;-1.0;1.0;;;;;;0.0;0.0;
17;;0.9494855455220892;0.9512482018766979;-5.2976439252147545;-1.0;1.0;;;;;;4.410850029886004;0.0;1.0;1.0;-8.184203183819971;-1.0;1.0;;;;;;0.0;0.0;
18;;0.9993418164520159;0.999392543403418;-8.604857123249609;-1.0;1.0;;;;;;0.013758604591;0.0;1.0;1.0;-8.61935930974555;-1.0;1.0;;;;;;0.0;0.0;
19;;1.0;1.0;-7.967625034335905;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.967625034335905;-1.0;1.0;;;;;;0.0;0.0;
20;;1.0;1.0;-8.056976892445046;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.056976892445046;-1.0;1.0;;;;;;0.0;0.0;
21;;0.9975581894702504;1.0;-9.761590314836255;-1.0;1.0;;;;;;0.0019013585949999973;0.0;1.0;1.0;-9.763951182951983;-1.0;1.0;;;;;;0.0;0.0;
22;;0.9882578671456126;1.0;-8.073120328832063;-1.0;1.0;;;;;;0.01992310620700001;0.0;1.0;1.0;-8.121980015684898;-1.0;1.0;;;;;;0.0;0.0;
23;;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;
24;;1.0;1.0;-8.425598729462289;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.425598729462289;-1.0;1.0;;;;;;0.0;0.0;
25;;1.0;1.0;-8.063687241608411;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.063687241608411;-1.0;1.0;;;;;;0.0;0.0;
26;;0.9862369379519185;0.9990669007870202;-8.132404164584829;-1.0;1.0;;;;;;0.017530334349999985;0.0;1.0;1.0;-8.205611367846275;-1.0;1.0;;;;;;0.0;0.0;
27;;0.9894661867008843;0.9973236618884391;-8.10110169164015;-1.0;1.0;;;;;;0.044239649827;0.0;1.0;1.0;-8.205611367846275;-1.0;1.0;;;;;;0.0;0.0;
28;;1.0;1.0;-8.394611591865145;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.394611591865145;-1.0;1.0;;;;;;0.0;0.0;
29;;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;
30;;1.0;1.0;-8.409948790108066;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.409948790108066;-1.0;1.0;;;;;;0.0;0.0;
