Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-numCluster;0-numClasses;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-numCluster;1-numClasses;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.5073057095581213;-1.0;0.6486915036035061;-1.0;0.6764705882352942;2.0;2.0;;;;;;1107.6392302603367;1.0;0.6668533306723776;-1.0;0.5429879931194646;-1.0;0.7564102564102564;2.0;2.0;;;;;;1158.4667651691695;0.9442308216989477;
1;;0.504315955594905;-1.0;0.5988603167509721;-1.0;0.7910447761194029;2.0;2.0;;;;;;1114.3155702574263;1.0;0.6670376457882157;-1.0;0.48039622613518385;-1.0;0.8567796610169491;2.0;2.0;;;;;;1144.346421479462;0.9523824480144919;
2;;0.5035640422338148;-1.0;0.6399039287606986;-1.0;0.7014925373134329;2.0;2.0;;;;;;1115.3193592558166;1.0;0.5693306077060724;-1.0;0.6561149868397194;-1.0;0.5396825396825397;2.0;2.0;;;;;;1110.4440908664774;1.0;
3;;0.5788777934839995;-1.0;0.6541693658132397;-1.0;0.5555555555555556;2.0;2.0;;;;;;1106.345857253053;1.0;0.5768045698328965;-1.0;0.6587293038088855;-1.0;0.5645161290322581;2.0;2.0;;;;;;1110.1463123146884;1.0;
4;;0.5847999944159215;-1.0;0.6263178296044052;-1.0;0.8235294117647058;2.0;2.0;;;;;;1097.3971603135765;1.0;0.5810096264286162;-1.0;0.6405464868416428;-1.0;0.8461538461538461;2.0;2.0;;;;;;1105.0903425130964;1.0;
5;;0.5915529508380515;-1.0;0.6323818662312084;-1.0;0.5072463768115942;2.0;2.0;;;;;;1099.326054997177;1.0;0.6790605265870431;-1.0;0.43739559587798893;-1.0;0.7236842105263157;2.0;2.0;;;;;;1121.065628560897;0.9256645668380757;
6;;0.5904764391837118;-1.0;0.6327902389849531;-1.0;0.5072463768115942;2.0;2.0;;;;;;1103.604455825766;1.0;0.6787378986443431;-1.0;0.44728745644717205;-1.0;0.71875;2.0;2.0;;;;;;1122.5700142236956;0.9221390088020406;
7;;0.5910515526886873;-1.0;0.6600325990502451;-1.0;0.8888888888888888;2.0;2.0;;;;;;1105.5964368799685;1.0;0.684062665300091;-1.0;0.48412997999362084;-1.0;0.7829476861167002;2.0;2.0;;;;;;1122.8787854252635;0.9358457722562219;
8;;0.5927036876822336;-1.0;0.6433593218475154;-1.0;0.8378378378378378;2.0;2.0;;;;;;1102.5649555488747;1.0;0.5033884569196758;-1.0;0.6410941168612854;-1.0;0.7777777777777778;2.0;2.0;;;;;;1097.812088501836;1.0;
9;;0.593614089746473;-1.0;0.6163703621727823;-1.0;0.56;2.0;2.0;;;;;;1105.5076827592072;1.0;0.5077577443038457;-1.0;0.615713396126048;-1.0;0.52;2.0;2.0;;;;;;1099.8803624759457;1.0;
10;;0.5114461372586605;-1.0;0.6081243698829563;-1.0;0.6025641025641025;2.0;2.0;;;;;;1095.0055799669615;1.0;0.5122529446652127;-1.0;0.6179115453946316;-1.0;0.5866666666666667;2.0;2.0;;;;;;1101.1792336625751;1.0;
11;;0.5998082739725956;-1.0;0.7149414976684957;-1.0;0.6;2.0;2.0;;;;;;1154.4358683512955;1.0;0.7177571323056811;-1.0;0.5859481311218523;-1.0;0.8289473684210527;2.0;2.0;;;;;;1184.8145805254571;0.9387517215909322;
12;;0.6026400053756604;-1.0;0.6595142941040859;-1.0;0.8767123287671232;2.0;2.0;;;;;;1140.6738561329128;1.0;0.523197360802446;-1.0;0.632441318370936;-1.0;0.6986301369863014;2.0;2.0;;;;;;1132.8168002589653;1.0;
