Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-numCluster;0-numClasses;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-numCluster;1-numClasses;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.9476663236129397;0.9931423650777128;-7.633460957296439;-1.0;1.0;1000.0;2.0;;;;;;1.6293395871069866E-28;0.0;0.6171388603334202;0.874032141329181;-3.2027223181373072;-1.0;1.0;446.0;2.0;;;;;;0.6935600860159993;0.0;
1;;0.6330570935890802;0.930160324086032;-5.463090636311651;-1.0;1.0;1713.0;2.0;;;;;;0.2829793407935317;0.003089549989071849;0.7200031745913071;0.9559384608079032;-6.290123368703115;-1.0;1.0;708.0;2.0;;;;;;0.2558501329520374;0.0;
2;;0.5032538512107001;0.19553197313899318;-0.04427476740365832;-0.11446902762246278;0.9947916666666666;1789.0;2.0;;;;;;0.45117251334950453;0.021621101469229298;0.6109944888196421;0.8528783151892713;-2.89798286350931;-1.0;1.0;581.0;2.0;;;;;;0.31658950216313214;0.0;
3;;0.540775474577182;0.17792658108958948;-0.007729844063230962;-0.016161822495026384;1.0;1803.0;2.0;;;;;;1.0945216729763068;0.01934083534699582;0.6782574874717404;0.8008492975986942;-2.234558298777597;-1.0;1.0;528.0;2.0;;;;;;0.6299034789082832;0.018709183797823437;
4;;0.5653451386626849;0.36739909026476614;-0.27981282996150303;-2.3474681717501276;0.9956140350877193;1239.0;2.0;;;;;;0.4420864782549709;0.016851120713626433;0.6252126385649275;0.7918757118505731;-2.1312512132086026;-1.0;1.0;548.0;2.0;;;;;;0.37484346106367716;0.006787664788850956;
5;;0.5947753048285365;0.7027532203582372;-1.4026766083382611;-1.0;0.9977973568281938;1066.0;2.0;;;;;;0.4096973703055973;0.014508143226327763;0.6523292317408376;0.8299944421014331;-2.571568350603394;-1.0;1.0;588.0;2.0;;;;;;0.4856446648122317;0.005460335461327737;
6;;0.5341860199350452;0.4458779616271139;-0.4209033783138503;-15.02900272733487;1.0;1071.0;2.0;;;;;;0.39623592597205226;0.05566805221044463;0.5949112851898992;0.6781424124424849;-1.243281353511526;-1.0;1.0;467.0;2.0;;;;;;0.3399550874991616;0.02599835986525656;
7;;0.5084408770033924;-1.0;0.23815395333377454;-1.0;0.9855072463768116;1092.0;2.0;;;;;;0.5877772703524546;0.07987585792326435;0.5866273145124834;0.6089410813700264;-0.8933356776670263;-1.0;1.0;426.0;2.0;;;;;;0.4177545728540389;0.04012381091804168;
8;;0.545881262654978;-1.0;0.3434208419533459;-1.0;0.9915254237288136;1067.0;2.0;;;;;;0.5600655384047492;0.12099663233664315;0.5505936227995611;0.5530998263008386;-0.7004521582527055;-1.0;0.9968944099378882;417.0;2.0;;;;;;0.38738172301529505;0.045553470153338715;
9;;0.5772858191725465;0.2524014314945492;-0.09836484606700147;-0.32235754755456997;0.9862542955326461;1064.0;2.0;;;;;;0.5232032639048442;0.12829210257108736;0.5845096145402724;0.6436450006875574;-1.044828803685519;-1.0;1.0;431.0;2.0;;;;;;0.36864479567931124;0.028231967220038234;
