Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.5073057095581213;-1.0;0.6486915036035061;-1.0;0.6764705882352942;;;;;;1107.6392302603367;1.0;0.5064221304500385;-1.0;0.6486915036035061;-1.0;0.6764705882352942;;;;;;1106.9795097810363;1.0;
1;;0.504315955594905;-1.0;0.5988603167509721;-1.0;0.7910447761194029;;;;;;1114.3155702574263;1.0;0.6599417619388667;-1.0;0.33251180559720894;-1.0;0.6751662971175166;;;;;;1119.9865121381804;0.9345808691976111;
2;;0.5035640422338148;-1.0;0.6399039287606986;-1.0;0.7014925373134329;;;;;;1115.3193592558166;1.0;0.5012680651666058;-1.0;0.6355521670945508;-1.0;0.6911764705882353;;;;;;1115.9761120735957;1.0;
3;;0.5788777934839995;-1.0;0.6541693658132397;-1.0;0.5555555555555556;;;;;;1106.345857253053;1.0;0.5748731491858835;-1.0;0.6622191917139708;-1.0;0.5573770491803278;;;;;;1113.9346683519648;1.0;
4;;0.5847999944159215;-1.0;0.6263178296044052;-1.0;0.8235294117647058;;;;;;1097.3971603135765;1.0;0.5873447094167044;-1.0;0.6227094415052008;-1.0;0.8260869565217391;;;;;;1102.8177745050907;1.0;
5;;0.5915529508380515;-1.0;0.6323818662312084;-1.0;0.5072463768115942;;;;;;1099.326054997177;1.0;0.6810751234961314;-1.0;0.47357059122973544;-1.0;0.7611940298507462;;;;;;1112.1213267018993;0.9263231657543287;
6;;0.5904764391837118;-1.0;0.6327902389849531;-1.0;0.5072463768115942;;;;;;1103.604455825766;1.0;0.5848502189517211;-1.0;0.644036882857021;-1.0;0.5;;;;;;1113.9431791800885;1.0;
7;;0.5910515526886873;-1.0;0.6600325990502451;-1.0;0.8888888888888888;;;;;;1105.5964368799685;1.0;0.49847859049041265;-1.0;0.6382794054556835;-1.0;0.7183098591549296;;;;;;1102.501770510922;1.0;
8;;0.5927036876822336;-1.0;0.6433593218475154;-1.0;0.8378378378378378;;;;;;1102.5649555488747;1.0;0.4996307103450154;-1.0;0.6429297095125379;-1.0;0.7916666666666666;;;;;;1093.7449605186764;1.0;
9;;0.593614089746473;-1.0;0.6163703621727823;-1.0;0.56;;;;;;1105.5076827592072;1.0;0.5956924112714956;-1.0;0.6272032838695243;-1.0;0.5555555555555556;;;;;;1124.9367284407188;1.0;
10;;0.5114461372586605;-1.0;0.6081243698829563;-1.0;0.6025641025641025;;;;;;1095.0055799669615;1.0;0.5071383290560031;-1.0;0.6106578146291202;-1.0;0.5844155844155844;;;;;;1108.707935953207;1.0;
11;;0.5998082739725956;-1.0;0.7149414976684957;-1.0;0.6;;;;;;1154.4358683512955;1.0;0.5301981586425253;-1.0;0.6751566388339512;-1.0;0.5254237288135594;;;;;;1141.6443682790625;1.0;
12;;0.6026400053756604;-1.0;0.6595142941040859;-1.0;0.8767123287671232;;;;;;1140.6738561329128;1.0;0.5179710117525691;-1.0;0.642091542186119;-1.0;0.6376811594202898;;;;;;1116.7795442578436;1.0;
13;;0.5350351523904477;-1.0;0.5893824950117599;-1.0;0.5903614457831325;;;;;;1126.794349413979;1.0;0.523020170650712;-1.0;0.6318202341934058;-1.0;0.6527777777777778;;;;;;1134.1354826187062;1.0;
14;;0.5371921121150638;-1.0;0.5751946234842273;-1.0;0.6470588235294118;;;;;;1116.983847837787;1.0;0.5249828978183888;-1.0;0.6191918546530574;-1.0;0.6712328767123288;;;;;;1118.585594306262;1.0;
15;;0.5523316580569964;-1.0;0.6242488977176904;-1.0;0.6338028169014085;;;;;;1115.37505540129;1.0;0.5384689665760719;-1.0;0.643433844603325;-1.0;0.6363636363636364;;;;;;1125.6298886530162;1.0;
16;;0.5290511127942275;-1.0;0.6269638003812035;-1.0;0.8405797101449275;;;;;;1111.2861180358614;1.0;0.6964284704375117;-1.0;0.2896908297767544;-1.0;0.8128557874762808;;;;;;1145.9701312010968;0.9285981776741288;
17;;0.530872708759899;-1.0;0.6186896447396748;-1.0;0.7123287671232876;;;;;;1136.3561326020408;1.0;0.5574387018744482;-1.0;0.6403365221740234;-1.0;0.5882352941176471;;;;;;1139.5888076157116;1.0;
18;;0.5345348493275829;-1.0;0.6321461705924907;-1.0;0.5538461538461539;;;;;;1152.00221998088;1.0;0.5695997941660015;-1.0;0.7274640108603887;-1.0;0.7021276595744681;;;;;;1160.0250989221393;1.0;
19;;0.5330785721014202;-1.0;0.6783836818020633;-1.0;0.6101694915254238;;;;;;1172.6463244535162;1.0;0.5409297196630859;-1.0;0.6674328154290412;-1.0;0.6290322580645161;;;;;;1175.254202665922;1.0;
20;;0.531462629927082;-1.0;0.6939414056465762;-1.0;0.8070175438596491;;;;;;1165.605609867917;1.0;0.7113844597303218;-1.0;0.43253626640497644;-1.0;0.7134502923976609;;;;;;1194.3695194466789;0.9074130695483795;
21;;0.5810470226768434;-1.0;0.6136330741657777;-1.0;0.75;;;;;;1167.1626473078063;1.0;0.6858126228400214;-1.0;0.588323985251425;-1.0;0.9183673469387755;;;;;;1192.6059679871726;0.9379983210936076;
22;;0.6927907447160979;-1.0;0.7531208775370114;-1.0;0.9375;;;;;;1187.4751615428522;0.9533194952839968;0.5241385511255401;-1.0;0.6759629072412427;-1.0;0.6206896551724138;;;;;;1156.344068253251;1.0;
23;;0.5228005718896203;-1.0;0.5908736385544328;-1.0;0.75;;;;;;1155.1069038397738;1.0;0.5198811808200805;-1.0;0.6190027877903646;-1.0;0.7808219178082192;;;;;;1151.9029552336044;1.0;
24;;0.5230569113563037;-1.0;0.6139602448444669;-1.0;0.5138888888888888;;;;;;1135.8550551449825;1.0;0.518489848178018;-1.0;0.6707518638771639;-1.0;0.5614035087719298;;;;;;1135.2041736342612;1.0;
25;;0.6005065189683991;-1.0;0.7088161733413009;-1.0;0.8245614035087719;;;;;;1142.075701828154;1.0;0.5266262176525437;-1.0;0.586853633990098;-1.0;0.573170731707317;;;;;;1137.431930758796;1.0;
26;;0.6026905778936757;-1.0;0.57626533869752;-1.0;0.6477272727272727;;;;;;1130.445838253008;1.0;0.6877751419870851;-1.0;0.6319616497414331;-1.0;0.8181818181818181;;;;;;1140.3236995261968;0.9271452653586865;
27;;0.6172774104842123;-1.0;0.612734407491788;-1.0;0.5135135135135135;;;;;;1166.4404651491209;1.0;0.6157968854873294;-1.0;0.6312097082617957;-1.0;0.5072463768115942;;;;;;1170.2493263448691;1.0;
28;;0.6151129381176792;-1.0;0.5776311036419188;-1.0;0.611764705882353;;;;;;1168.0676478923008;1.0;0.5294928887246897;-1.0;0.7222167217659121;-1.0;0.5217391304347826;;;;;;1158.6462531743698;1.0;
29;;0.6335163033878465;-1.0;0.6704002337563923;-1.0;0.6379310344827587;;;;;;1208.5518947433422;1.0;0.618297843918405;-1.0;0.658391840684641;-1.0;0.6557377049180327;;;;;;1162.8878042966976;1.0;
30;;0.6342569849298962;-1.0;0.6631290018642158;-1.0;0.7230769230769231;;;;;;1183.8933329723777;1.0;0.6120670220731476;-1.0;0.688421776244939;-1.0;0.7457627118644068;;;;;;1165.8646019177872;1.0;
31;;0.6309242741817809;-1.0;0.5643506344868903;-1.0;0.7191011235955056;;;;;;1183.2063913532086;1.0;0.7196728693398692;-1.0;0.5938484594751461;-1.0;0.86;;;;;;1183.426997266963;0.9295184658965577;
32;;0.6160913116945765;-1.0;0.6362164982407942;-1.0;0.5942028985507246;;;;;;1164.0903423974744;1.0;0.5834467119396642;-1.0;0.7609179254805011;-1.0;0.5384615384615384;;;;;;1170.2147671032615;1.0;
