Nr,Event,0-CMM,0-Homogeneity,0-Completeness,0-V-Measure,0-Purity,0-time per object,0-,0-Ram-Hours,0-Time,0-Memory,0-SSQ,0-SilhCoeff,1-CMM,1-Homogeneity,1-Completeness,1-V-Measure,1-Purity,1-time per object,1-,1-Ram-Hours,1-Time,1-Memory,1-SSQ,1-SilhCoeff
0,,0.410284493,-1,0.8831916682,-1,0.6666666667,,,,,,4545.9399120217,0.5153581255,0.410284493,-1,0.8831916682,-1,0.6666666667,,,,,,4545.9399120217,0.5153581255
1,,0.4628812771,-1,0.6809351261,-1,0.8757575758,,,,,,347.1857502652,0.6435449667,0.4628812771,-1,0.6809351261,-1,0.8757575758,,,,,,347.1857502652,0.6435449667
2,,0.5318451779,-1,0.2956369924,-1,0.9322344322,,,,,,226.2361356034,0.6392032629,0.5318451779,-1,0.2956369924,-1,0.9322344322,,,,,,226.2361356034,0.6392032629
3,,0.4866872186,-1,0.5690312998,-1,0.9015873016,,,,,,169.7334364142,0.5795764877,0.4866872186,-1,0.5690312998,-1,0.9015873016,,,,,,169.7334364142,0.5795764877
4,,0.5368598267,0.1454285485,-0.0195525316,-0.0451793178,0.9495726496,,,,,,70.2097619072,0.6247808596,0.5368598267,0.1454285485,-0.0195525316,-0.0451793178,0.9495726496,,,,,,70.2097619072,0.6247808596
5,,0.5282329262,-1,0.1734318737,-1,0.9061904762,,,,,,103.8985201789,0.5683780682,0.5282329262,-1,0.1734318737,-1,0.9061904762,,,,,,103.8985201789,0.5683780682
6,,0.5454025415,-1,0.2932754909,-1,0.9433333333,,,,,,77.6814439779,0.6610577752,0.5454025415,-1,0.2932754909,-1,0.9433333333,,,,,,77.6814439779,0.6610577752
7,,0.5118038607,0.0752429984,0.0761093038,0.0756736718,0.9257936508,,,,,,350.4124062449,0.5562806655,0.5118038607,0.0752429984,0.0761093038,0.0756736718,0.9257936508,,,,,,350.4124062449,0.5562806655
8,,0.6156122004,0.4110214402,-0.3977570188,-24.6504024043,0.8979885057,,,,,,81.7384027427,0.4970384239,0.6156122004,0.4110214402,-0.3977570188,-24.6504024043,0.8979885057,,,,,,81.7384027427,0.4970384239
9,,0.643624405,0.5046257197,-0.6277773093,-1,0.9093607306,,,,,,34.8402070143,0.5238859425,0.643624405,0.5046257197,-0.6277773093,-1,0.9093607306,,,,,,34.8402070143,0.5238859425
10,,0.6292102722,0.5062033922,-0.6253167359,-1,0.9002564103,,,,,,68.1446078721,0.6159651522,0.6292102722,0.5062033922,-0.6253167359,-1,0.9002564103,,,,,,68.1446078721,0.6159651522
11,,0.5008363851,0.2978141214,-0.1835364889,-0.956613415,0.9071038251,,,,,,121.2172987095,0.574465546,0.5008363851,0.2978141214,-0.1835364889,-0.956613415,0.9071038251,,,,,,121.2172987095,0.574465546
12,,0.5472742696,0.1258131944,-0.022042904,-0.0534505235,0.85625,,,,,,218.45668312,0.447007546,0.5472742696,0.1258131944,-0.022042904,-0.0534505235,0.85625,,,,,,218.45668312,0.447007546
13,,0.5430830353,0.1199458087,0.0287638853,0.0464005727,0.9027777778,,,,,,130.0262757574,0.5638366508,0.5430830353,0.1199458087,0.0287638853,0.0464005727,0.9027777778,,,,,,130.0262757574,0.5638366508
14,,0.5520233537,0.0554613615,0.0774686262,0.0646432841,0.9018518519,,,,,,79.4972447274,0.550291612,0.5520233537,0.0554613615,0.0774686262,0.0646432841,0.9018518519,,,,,,79.4972447274,0.550291612
15,,0.5472433694,0.3002813828,-0.22840377,-1.9083939259,0.8948979592,,,,,,76.3067488634,0.5391950747,0.5472433694,0.3002813828,-0.22840377,-1.9083939259,0.8948979592,,,,,,76.3067488634,0.5391950747
16,,0.5129687882,0.1064743003,0.0749023117,0.0879404587,0.9088235294,,,,,,107.8705391722,0.6471309207,0.5129687882,0.1064743003,0.0749023117,0.0879404587,0.9088235294,,,,,,107.8705391722,0.6471309207
17,,0.4462209623,-1,0.5880690907,-1,0.9057971014,,,,,,121.3306947185,0.5372968191,0.4462209623,-1,0.5880690907,-1,0.9057971014,,,,,,121.3306947185,0.5372968191
18,,0.4338045181,-1,0.7402686135,-1,0.9230769231,,,,,,463.5818448705,0.6284286136,0.4338045181,-1,0.7402686135,-1,0.9230769231,,,,,,463.5818448705,0.6284286136
19,,0.4133282115,-1,0.9059283548,-1,1,,,,,,607.6960866183,0.7756423278,0.4133282115,-1,0.9059283548,-1,1,,,,,,607.6960866183,0.7756423278
20,,0.4127775403,-1,0.9235158171,-1,1,,,,,,2205.0014455705,0.7901033236,0.4127775403,-1,0.9235158171,-1,1,,,,,,2205.0014455705,0.7901033236
21,,0.4082807121,-1,0.8351241324,-1,0.9285714286,,,,,,516.6817712502,0.733132017,0.4082807121,-1,0.8351241324,-1,0.9285714286,,,,,,516.6817712502,0.733132017
22,,0.4225818751,-1,0.9033946999,-1,1,,,,,,570.4528554275,0.984348126,0.4225818751,-1,0.9033946999,-1,1,,,,,,570.4528554275,0.984348126
23,,0.4385132252,-1,0.7439203554,-1,0.8461538462,,,,,,275.0421378448,0.6025674969,0.4385132252,-1,0.7439203554,-1,0.8461538462,,,,,,275.0421378448,0.6025674969
24,,0.4343435799,-1,0.6860728306,-1,0.96875,,,,,,339.6930774024,0.6837134058,0.4343435799,-1,0.6860728306,-1,0.96875,,,,,,339.6930774024,0.6837134058
25,,0.4665707668,-1,0.4890680357,-1,0.962962963,,,,,,306.2652673437,0.6130303056,0.4665707668,-1,0.4890680357,-1,0.962962963,,,,,,306.2652673437,0.6130303056
26,,0.4709255554,-1,0.6739987975,-1,0.9479166667,,,,,,181.0448864736,0.6079060427,0.4709255554,-1,0.6739987975,-1,0.9479166667,,,,,,181.0448864736,0.6079060427
27,,0.4039459247,-1,0.8395070057,-1,1,,,,,,451.1854175482,0.7037332457,0.4039459247,-1,0.8395070057,-1,1,,,,,,451.1854175482,0.7037332457
