Nr,Event,0-CMM,0-Homogeneity,0-Completeness,0-V-Measure,0-Purity,0-time per object,0-,0-Ram-Hours,0-Time,0-Memory,0-SSQ,0-SilhCoeff,1-CMM,1-Homogeneity,1-Completeness,1-V-Measure,1-Purity,1-time per object,1-,1-Ram-Hours,1-Time,1-Memory,1-SSQ,1-SilhCoeff
28,,0.4166609487,-1,0.6997836578,-1,0.9333333333,,,,,,456.222121784,0.7200090304,0.4166609487,-1,0.6997836578,-1,0.9333333333,,,,,,456.222121784,0.7200090304
29,,0.4194844067,-1,0.6641115799,-1,0.9722222222,,,,,,500.357860115,0.6580749892,0.4194844067,-1,0.6641115799,-1,0.9722222222,,,,,,500.357860115,0.6580749892
30,,0.4436624905,-1,0.6934640454,-1,0.9375,,,,,,529.0527308158,0.6685845158,0.4436624905,-1,0.6934640454,-1,0.9375,,,,,,529.0527308158,0.6685845158
31,,0.4582215892,-1,0.7461306414,-1,0.9230769231,,,,,,361.7698748595,0.6712564409,0.4582215892,-1,0.7461306414,-1,0.9230769231,,,,,,361.7698748595,0.6712564409
32,,0.4534084553,-1,0.7087649462,-1,0.96875,,,,,,588.7299806633,0.6421655833,0.4534084553,-1,0.7087649462,-1,0.96875,,,,,,588.7299806633,0.6421655833
33,,0.4400923999,-1,0.6646742373,-1,0.9705882353,,,,,,395.7273826193,0.7157739286,0.4400923999,-1,0.6646742373,-1,0.9705882353,,,,,,395.7273826193,0.7157739286
34,,0.4496126356,-1,0.5679075784,-1,0.9621212121,,,,,,267.589864242,0.6743244911,0.4496126356,-1,0.5679075784,-1,0.9621212121,,,,,,267.589864242,0.6743244911
35,,0.424378634,-1,0.8018398553,-1,0.9444444444,,,,,,689.0502765256,0.7187267668,0.424378634,-1,0.8018398553,-1,0.9444444444,,,,,,689.0502765256,0.7187267668
36,,0.4555958637,-1,0.6969493385,-1,0.9777777778,,,,,,413.679938295,0.6561299959,0.4555958637,-1,0.6969493385,-1,0.9777777778,,,,,,413.679938295,0.6561299959
37,,0.4506074288,-1,0.6684768676,-1,0.9375,,,,,,507.5405371099,0.6163545514,0.4506074288,-1,0.6684768676,-1,0.9375,,,,,,507.5405371099,0.6163545514
38,,0.4286974382,-1,0.9043213209,-1,1,,,,,,350.2961259269,0.6012384676,0.4286974382,-1,0.9043213209,-1,1,,,,,,350.2961259269,0.6012384676
39,,0.4130416543,-1,0.8883708198,-1,1,,,,,,1129.5977347391,0.8525777972,0.4130416543,-1,0.8883708198,-1,1,,,,,,1129.5977347391,0.8525777972
40,,0.4210981625,-1,0.7733681706,-1,1,,,,,,440.6230455083,0.7048994694,0.4210981625,-1,0.7733681706,-1,1,,,,,,440.6230455083,0.7048994694
41,,0.4284381811,-1,0.7351920781,-1,1,,,,,,900.5746968998,0.6013503916,0.4284381811,-1,0.7351920781,-1,1,,,,,,900.5746968998,0.6013503916
42,,0.4426287495,-1,0.6951440723,-1,0.9375,,,,,,434.8517431114,0.6742308844,0.4426287495,-1,0.6951440723,-1,0.9375,,,,,,434.8517431114,0.6742308844
43,,0.4087115247,-1,0.7230458291,-1,1,,,,,,2319.9448264547,0.6206491102,0.4087115247,-1,0.7230458291,-1,1,,,,,,2319.9448264547,0.6206491102
44,,0.4454832869,-1,0.7585958321,-1,0.9166666667,,,,,,428.7603728781,0.6681553379,0.4454832869,-1,0.7585958321,-1,0.9166666667,,,,,,428.7603728781,0.6681553379
