Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.5466280873915248;-1.0;0.5759896141786004;-1.0;0.9595959595959597;;;;;;2.611035439847459;0.25284351928678284;0.5323407120343405;-1.0;0.5665446314908253;-1.0;0.6494227994227995;;;;;;246.74408276316606;0.8351395586886632;
1;;0.5392971461604166;-1.0;0.5477758143970046;-1.0;0.9827586206896551;;;;;;3.6736169428502765;0.4166848082125938;0.4499513575996834;-1.0;0.9395350175997206;-1.0;1.0;;;;;;308.4548303146806;1.0;
2;;0.6278492423110763;-1.0;0.20887832846248244;-1.0;0.9625850340136055;;;;;;3.2578469530354264;0.5053472626661566;0.583511787914663;-1.0;0.45856156999081155;-1.0;0.6340958605664487;;;;;;451.0554577273415;0.891521616151312;
3;;0.5607481456199229;-1.0;0.6039880331165728;-1.0;0.9464285714285714;;;;;;4.418995382726717;0.40606202007085757;0.48759350316023176;-1.0;0.6025643088318977;-1.0;0.6108350586611456;;;;;;259.6370975357081;0.7717544308521455;
4;;0.6654672925671026;-1.0;0.3536957445103821;-1.0;0.9430894308943089;;;;;;3.3285106002254796;0.43847091235966906;0.5299351939196757;-1.0;0.6752188304209825;-1.0;0.85;;;;;;251.9817075023402;0.9009421622783798;
5;;0.6455369835513685;-1.0;0.21363067094747634;-1.0;0.9629629629629629;;;;;;3.3783517785861688;0.38080926439635854;0.6895132561572275;-1.0;0.08950792537248853;-1.0;0.7699123945489943;;;;;;401.68332121951244;0.8573573786963177;
6;;0.5512914246462952;-1.0;0.6414981564129002;-1.0;0.9642857142857143;;;;;;3.680509754655727;0.30585960632847753;0.6033486049561285;-1.0;0.5220474050280666;-1.0;0.7666666666666666;;;;;;448.41683709892897;0.9106743788418865;
7;;0.469756442625911;-1.0;0.7808657640074078;-1.0;0.9444444444444444;;;;;;4.650569058897208;0.45837473168967596;0.4735412718044397;-1.0;0.7107652537529479;-1.0;0.7321428571428571;;;;;;243.66538904968797;0.8103459591938013;
8;;0.5758701330121774;-1.0;0.5397079612520495;-1.0;0.9833333333333333;;;;;;2.5674547001977936;0.5889250753585312;0.4732409676302969;-1.0;0.7955096570478588;-1.0;0.7666666666666666;;;;;;247.51669122912963;0.8388631171374451;
9;;0.6168913729786533;-1.0;0.29710387500240654;-1.0;0.9263565891472869;;;;;;2.2542890489795986;0.4763004041664732;0.5332353381933488;-1.0;0.8820226820514541;-1.0;1.0;;;;;;246.4249223016606;0.9731862352791123;
10;;0.5975098139896551;-1.0;0.373200753999554;-1.0;0.9696969696969698;;;;;;2.1175426917443168;0.42625141388306476;0.6673598621142396;-1.0;0.4804420182079683;-1.0;0.6833964646464646;;;;;;386.9530270318763;0.8534908080419723;
11;;0.6029642835287736;-1.0;0.390822713156444;-1.0;0.9401709401709402;;;;;;6.701120323631161;0.49685036909818125;0.45589095700664395;-1.0;0.9893728115458584;-1.0;1.0;;;;;;280.3846150075075;0.5;
12;;0.6378762564885124;-1.0;0.2372157730255431;-1.0;0.9052083333333333;;;;;;6.2910313337871795;0.6724402547491773;0.47303054579880643;-1.0;0.9002141548793141;-1.0;0.8333333333333333;;;;;;248.5477797710287;0.9484078588554122;
13;;0.612720195737744;-1.0;0.302969516085155;-1.0;0.9445402298850575;;;;;;6.391869387226914;0.694626850928771;0.47319728602953004;-1.0;0.8171360296783299;-1.0;0.7941176470588236;;;;;;259.6239316051543;0.8331137771346326;
14;;0.7009377235586943;0.1114917952493163;0.011933893940774487;0.021560037760416362;0.8861111111111111;;;;;;3.740109854404251;0.4873003844316455;0.3678794411714412;1.0;1.0;1.0;0.0;;;;;;304.18658203023705;0.5;
15;;0.6847836534065965;0.1392391987094861;0.016575708455811022;0.029624743940330916;0.9372549019607842;;;;;;3.2163010281120332;0.5598499325905881;0.5136174220793421;-1.0;0.7113760225945202;-1.0;0.8071428571428573;;;;;;251.04013759959213;0.8398824746833091;
