Nr;Event;0-CMM;0-GT cross entropy;0-FC cross entropy;0-Homogeneity;0-Completeness;0-V-Measure;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-time per object;0-mean abs. error;0-root mean sq. er.;0-;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-GT cross entropy;1-FC cross entropy;1-Homogeneity;1-Completeness;1-V-Measure;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-time per object;1-mean abs. error;1-root mean sq. er.;1-;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
0;;0.5466280873915248;0.5760336589087349;0.8551034496110941;-1.0;0.5759896141786004;-1.0;0.004698720039274978;0.007969265938531877;0.9595959595959597;1.0;0.042;0.0;100.0;2.0;;;;;;;;4066.375732976828;1.5536317377729598;2617.3356491839822;0.25284351928678284;0.4994774774774775;0.5323407120343405;0.5665896573330447;0.615359173580198;-1.0;0.5665446314908253;-1.0;0.052184307356377434;0.051761309519414635;0.6494227994227995;1.0;0.063;0.0;5.0;2.0;;;;;;;;3822.6039033816323;1.5536317377729598;2460.4311372147376;0.8351395586886632;0.4995975975975976;
1;;0.4940021144397482;0.6819803430022442;0.8722412864401776;-1.0;0.6381338778698146;-1.0;0.0045214747143090765;0.007599800754287341;1.0;1.0;0.031;0.0;100.0;2.0;;;;;;;;2871.936983455206;1.5216581307656487;1887.3733366180884;0.15106161024451353;0.5724524524524525;0.4499513575996834;0.9468614170066069;0.6654692689335343;-1.0;0.9395350175997206;-1.0;0.05228758169934641;0.026143790849673203;1.0;1.0;0.008;0.0;5.0;2.0;;;;;;;;2700.47388373807;1.5216581307656487;1774.6915875113682;1.0;0.5877877877877878;
2;;0.6105013868887142;0.3114036757656453;0.8620928964366152;-1.0;0.2952094052233246;-1.0;0.005040058978073369;0.009910182579674106;0.9519230769230769;1.0;0.069;0.0;100.0;2.0;;;;;;;;5088.688393337139;2.589191888004123;1965.3577693153331;0.2998880947730054;0.513001001001001;0.583511787914663;0.4710024289956859;0.6229625410655037;-1.0;0.45856156999081155;-1.0;0.06313980453584615;0.11537862683228314;0.6340958605664487;1.0;0.091;0.0;5.0;2.0;;;;;;;;4566.357333059742;2.589191888004123;1763.6226014054585;0.891521616151312;0.505965965965966;
3;;0.5750758934494746;0.4729927311464547;0.8615321357022905;-1.0;0.45412842053820335;-1.0;0.004594531635719458;0.009991019308486754;0.9761904761904762;1.0;0.052;0.0;100.0;2.0;;;;;;;;3306.4896137629944;0.9491687640673917;3483.5634493427465;0.2837909690519056;0.515023023023023;0.48759350316023176;0.6162989501048363;0.6267925517799586;-1.0;0.6025643088318977;-1.0;0.03394718559439117;0.046423743394371386;0.6108350586611456;1.0;0.054;0.0;5.0;2.0;;;;;;;;3118.2263797845308;0.9491687640673917;3285.2180748366204;0.7717544308521455;0.519063063063063;
4;;0.5670828043003991;0.5298300980801987;0.8649374801447578;-1.0;0.49853344544518297;-1.0;0.004346699648231963;0.010240473676009764;0.9871794871794872;1.0;0.046;0.0;100.0;2.0;;;;;;;;5172.846922858449;1.4563372730001478;3551.9566921486903;0.23358917724362294;0.5309409409409409;0.5299351939196757;0.6954885041497367;0.64614976526935;-1.0;0.6752188304209825;-1.0;0.05496755898197812;0.07130927719163013;0.85;1.0;0.045;0.0;5.0;2.0;;;;;;;;4852.390440523795;1.4563372730001478;3331.9139257677316;0.9009421622783798;0.5409069069069069;
5;;0.5335116396413673;0.5362342686282123;0.8592660007802359;-1.0;0.5270161529955779;-1.0;0.004730944033070296;0.008186562296151337;0.9868421052631579;1.0;0.046;0.0;100.0;2.0;;;;;;;;3374.8152689961535;0.967484563170165;3488.2368127279133;0.2951598586276848;0.5110850850850851;0.6895132561572275;0.10725276228324054;0.634452511655647;-1.0;0.08950792537248853;-1.0;0.07923421997434728;0.12147157403142025;0.7699123945489943;1.0;0.151;0.0;5.0;2.0;;;;;;;;3020.1000332148546;0.967484563170165;3121.600228244332;0.8573573786963177;0.5052532532532532;
6;;0.5701920974914465;0.4408782406330525;0.8599122637842673;-1.0;0.43058121181141207;-1.0;0.004874276089447316;0.01051781248985159;0.9651162790697675;1.0;0.056;0.0;100.0;2.0;;;;;;;;4446.899926131765;0.0847897512813543;52446.196137264305;0.29504186948609357;0.5096036036036036;0.6033486049561285;0.5306904139134248;0.6253800268690826;-1.0;0.5220474050280666;-1.0;0.055850531909807655;0.11892459767919392;0.7666666666666666;1.0;0.082;0.0;5.0;2.0;;;;;;;;3954.181875769678;0.0847897512813543;46635.13945982317;0.9106743788418865;0.516006006006006;
7;;0.5842773973266336;0.39363448407995205;0.8577854768949684;-1.0;0.3925385501475884;-1.0;0.005160152816321143;0.0098746902992186;0.9469696969696969;1.0;0.061;0.0;100.0;2.0;;;;;;;;3761.185112839993;0.2989971836909988;12579.33291012875;0.3562902639145651;0.502048048048048;0.4735412718044397;0.7112870682201997;0.617432698396981;-1.0;0.7107652537529479;-1.0;0.03446542609305133;0.03484420655530734;0.7321428571428571;1.0;0.039;0.0;5.0;2.0;;;;;;;;3508.416591465326;0.2989971836909988;11733.945277194078;0.8103459591938013;0.4998718718718719;
8;;0.55093690373253;0.5979645938556919;0.8553793774683478;-1.0;0.5971785265486306;-1.0;0.004795621438534039;0.007989559460147694;0.967741935483871;1.0;0.04;0.0;100.0;2.0;;;;;;;;4126.388345077047;3.309507139846705;1246.8286577765716;0.3539233070348606;0.49964164164164165;0.4732409676302969;0.7959087002563233;0.6164155976726235;-1.0;0.7955096570478588;-1.0;0.04063323090430202;0.03377187651920273;0.7666666666666666;1.0;0.028;0.0;5.0;2.0;;;;;;;;3904.4878391741468;3.309507139846705;1179.7792463306187;0.8388631171374451;0.4996036036036036;
9;;0.5416711063663626;0.5868443822831605;0.8545063065615284;-1.0;0.5868145767583363;-1.0;0.005447935476013157;0.011882691038174034;0.9135802469135802;1.0;0.042;0.0;100.0;2.0;;;;;;;;3756.802361254853;5.962522708297968;630.0692752124128;0.3993628895140969;0.4995435435435435;0.5332353381933488;0.8820311924578746;0.6191270694433477;-1.0;0.8820226820514541;-1.0;0.019952478289218412;0.015904572564612324;1.0;1.0;0.015;0.0;5.0;2.0;;;;;;;;3526.566545597946;5.962522708297968;591.4554489981342;0.9731862352791123;0.5001681681681681;
