Nr;Event;0-CMM;0-GT cross entropy;0-FC cross entropy;0-Homogeneity;0-Completeness;0-V-Measure;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-time per object;0-mean abs. error;0-root mean sq. er.;0-;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-GT cross entropy;1-FC cross entropy;1-Homogeneity;1-Completeness;1-V-Measure;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-time per object;1-mean abs. error;1-root mean sq. er.;1-;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
0;;0.414499426917481;0.7194578930932041;0.8538736789675302;-1.0;0.7194287483234605;-1.0;0.003987275782147578;0.003992588607973224;1.0;1.0;0.027;0.0;100.0;2.0;;;;;;;;962.5063685610623;1.5536317377729598;619.5202795874644;0.0;0.49953553553553554;0.5323407120343405;0.5665896573330447;0.615359173580198;-1.0;0.5665446314908253;-1.0;0.052184307356377434;0.051761309519414635;0.6494227994227995;1.0;0.063;0.0;5.0;2.0;;;;;;;;3822.6039033816323;1.5536317377729598;2460.4311372147376;0.8351395586886632;0.4995975975975976;
1;;0.4132855067226997;0.7583832266293342;0.8710706830931922;-1.0;0.7250706901370324;-1.0;0.0040148672125589835;0.004766956712036804;1.0;1.0;0.023;0.0;100.0;2.0;;;;;;;;908.2106310188096;1.5216581307656487;596.8558986122774;0.0;0.574014014014014;0.4499513575996834;0.9468614170066069;0.6654692689335343;-1.0;0.9395350175997206;-1.0;0.05228758169934641;0.026143790849673203;1.0;1.0;0.008;0.0;5.0;2.0;;;;;;;;2700.47388373807;1.5216581307656487;1774.6915875113682;1.0;0.5877877877877878;
2;;0.4227934840001598;0.7905238573215908;0.8560244565293645;-1.0;0.7855974393212221;-1.0;0.0038291920355438547;0.004122099720256706;1.0;1.0;0.02;0.0;100.0;2.0;;;;;;;;850.4267227854837;2.589191888004123;328.45256727612974;0.0;0.5125905905905906;0.583511787914663;0.4710024289956859;0.6229625410655037;-1.0;0.45856156999081155;-1.0;0.06313980453584615;0.11537862683228314;0.6340958605664487;1.0;0.091;0.0;5.0;2.0;;;;;;;;4566.357333059742;2.589191888004123;1763.6226014054585;0.891521616151312;0.505965965965966;
3;;0.4100177634699447;0.814181075790247;0.8578982835156783;-1.0;0.8075296572798165;-1.0;0.004291662019999257;0.004190364670458347;1.0;1.0;0.018;0.0;100.0;2.0;;;;;;;;806.781591144984;0.9491687640673917;849.9875066344913;0.0;0.5241801801801802;0.48759350316023176;0.6162989501048363;0.6267925517799586;-1.0;0.6025643088318977;-1.0;0.03394718559439117;0.046423743394371386;0.6108350586611456;1.0;0.054;0.0;5.0;2.0;;;;;;;;3118.2263797845308;0.9491687640673917;3285.2180748366204;0.7717544308521455;0.519063063063063;
4;;0.405035148829449;0.82305979854385;0.861705284217448;-1.0;0.811281851891945;-1.0;0.0041381482823662575;0.004362496462546531;1.0;1.0;0.017;0.0;100.0;2.0;;;;;;;;770.3819023177186;1.4563372730001478;528.9859132223422;0.0;0.5404464464464465;0.5299351939196757;0.6954885041497367;0.64614976526935;-1.0;0.6752188304209825;-1.0;0.05496755898197812;0.07130927719163013;0.85;1.0;0.045;0.0;5.0;2.0;;;;;;;;4852.390440523795;1.4563372730001478;3331.9139257677316;0.9009421622783798;0.5409069069069069;
5;;0.3984387696659748;0.8002952260645342;0.8552589597565905;-1.0;0.7963257613671729;-1.0;0.0037132134076435655;0.004101900711077997;1.0;1.0;0.019;0.0;100.0;2.0;;;;;;;;721.8725751228278;0.967484563170165;746.1334295169132;0.0;0.5094894894894895;0.6895132561572275;0.10725276228324054;0.634452511655647;-1.0;0.08950792537248853;-1.0;0.07923421997434728;0.12147157403142025;0.7699123945489943;1.0;0.151;0.0;5.0;2.0;;;;;;;;3020.1000332148546;0.967484563170165;3121.600228244332;0.8573573786963177;0.5052532532532532;
6;;0.4164523404131809;0.7593619098991692;0.8557354000161262;-1.0;0.7549302144628152;-1.0;0.0038412073584061035;0.0040938061774799805;1.0;1.0;0.023;0.0;100.0;2.0;;;;;;;;646.2363832463379;0.0847897512813543;7621.633198356234;0.0;0.5092512512512513;0.6033486049561285;0.5306904139134248;0.6253800268690826;-1.0;0.5220474050280666;-1.0;0.055850531909807655;0.11892459767919392;0.7666666666666666;1.0;0.082;0.0;5.0;2.0;;;;;;;;3954.181875769678;0.0847897512813543;46635.13945982317;0.9106743788418865;0.516006006006006;
7;;0.40984559042756563;0.7825046058328757;0.8533489699689877;-1.0;0.7821115086392814;-1.0;0.004087566585569589;0.0040019810205451;1.0;1.0;0.021;0.0;100.0;2.0;;;;;;;;584.7631492093607;0.2989971836909988;1955.7480173916592;0.0;0.5017537537537538;0.4735412718044397;0.7112870682201997;0.617432698396981;-1.0;0.7107652537529479;-1.0;0.03446542609305133;0.03484420655530734;0.7321428571428571;1.0;0.039;0.0;5.0;2.0;;;;;;;;3508.416591465326;0.2989971836909988;11733.945277194078;0.8103459591938013;0.4998718718718719;
8;;0.39571859658145414;0.8552860215943167;0.852334832668542;-1.0;0.855003074058948;-1.0;0.004151174901199867;0.004002796364725856;1.0;1.0;0.014;0.0;100.0;2.0;;;;;;;;534.488032773879;3.309507139846705;161.50079458618006;0.0;0.502008008008008;0.4732409676302969;0.7959087002563233;0.6164155976726235;-1.0;0.7955096570478588;-1.0;0.04063323090430202;0.03377187651920273;0.7666666666666666;1.0;0.028;0.0;5.0;2.0;;;;;;;;3904.4878391741468;3.309507139846705;1179.7792463306187;0.8388631171374451;0.4996036036036036;
9;;0.3932424432606001;0.85436290752074;0.8519139415914208;-1.0;0.8543524010921956;-1.0;0.0039753374255478025;0.0039924136172383015;1.0;1.0;0.014;0.0;100.0;2.0;;;;;;;;468.36560415862783;5.962522708297968;78.55158413179866;0.0;0.49947947947947946;0.5332353381933488;0.8820311924578746;0.6191270694433477;-1.0;0.8820226820514541;-1.0;0.019952478289218412;0.015904572564612324;1.0;1.0;0.015;0.0;5.0;2.0;;;;;;;;3526.566545597946;5.962522708297968;591.4554489981342;0.9731862352791123;0.5001681681681681;
10;;0.4010091974789395;0.8333589149037112;0.8523253279674138;-1.0;0.83318511436966;-1.0;0.00394091126715608;0.0039977657197574215;1.0;1.0;0.016;0.0;100.0;2.0;;;;;;;;394.5921467930021;3.212203924019364;122.84156178330582;0.0;0.4998178178178178;0.6673598621142396;0.4809833335370214;0.6161331434346324;-1.0;0.4804420182079683;-1.0;0.050643645485038795;0.12682705929509247;0.6833964646464646;1.0;0.09;0.0;5.0;2.0;;;;;;;;3316.9795693019237;3.212203924019364;1032.6179930542692;0.8534908080419723;0.5016976976976977;
11;;0.38186706458014164;0.9373264857149886;0.8518024406505287;-1.0;0.9368517391383988;-1.0;0.003896940418679549;0.004033816425120773;1.0;1.0;0.006;0.0;100.0;2.0;;;;;;;;371.48353159331623;3.1981036132959724;116.15744094371743;0.0;0.5043083083083083;0.45589095700664395;0.9894527064039043;0.6163884125891208;-1.0;0.9893728115458584;-1.0;0.0036231884057971015;0.0018115942028985507;1.0;1.0;0.001;0.0;5.0;2.0;;;;;;;;2933.9962497041965;3.1981036132959724;917.4175087718355;0.5;0.5045045045045045;
12;;0.3932567162658728;0.927156642749919;0.8508618320896707;-1.0;0.9271547510559395;-1.0;0.0039819140507608665;0.003992159112641041;1.0;1.0;0.007;0.0;100.0;2.0;;;;;;;;358.70374733314793;6.013631247488223;59.64844410487782;0.0;0.4994974974974975;0.47303054579880643;0.9002167461846524;0.6171922565413817;-1.0;0.9002141548793141;-1.0;0.023723865877712032;0.021700150462692268;0.8333333333333333;1.0;0.013;0.0;5.0;2.0;;;;;;;;5271.837963330988;6.013631247488223;876.6480261876603;0.9484078588554122;0.4998718718718719;
13;;0.38245926270399777;0.937610048471918;0.8507176353345556;-1.0;0.9376093283842974;-1.0;0.004002703883578954;0.0039920795866086045;1.0;1.0;0.006;0.0;100.0;2.0;;;;;;;;295.2022841073425;1.4736667279941902;200.31821204862428;0.0;0.49956156156156156;0.47319728602953004;0.817138140219503;0.6164045513337322;-1.0;0.8171360296783299;-1.0;0.03495409724583475;0.032860055745739566;0.7941176470588236;1.0;0.025;0.0;5.0;2.0;;;;;;;;3150.3759515206434;1.4736667279941902;2137.7804707639866;0.8331137771346326;0.4996136136136136;
14;;0.39559544759200327;0.8732937101587697;0.8537069236923259;-1.0;0.8712519476520408;-1.0;0.003578725859552658;0.0040810508094898685;1.0;1.0;0.012;0.0;100.0;2.0;;;;;;;;249.48444683932064;3.861109733939222;64.61469992586535;0.0;0.5076116116116116;0.3678794411714412;1.0;0.6192821326191471;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;;;;;;;;3595.018855999152;3.861109733939222;931.0843523557161;0.5;0.5104624624624624;
15;;0.39983603641427146;0.8740547527627875;0.8541553707100306;-1.0;0.8717352904649536;-1.0;0.003771041019774473;0.0040938061774799805;1.0;1.0;0.012;0.0;100.0;2.0;;;;;;;;224.6967802188954;2.727473230860493;82.38276279910751;0.0;0.5101441441441441;0.5136174220793421;0.7165953259888023;0.623648905166851;-1.0;0.7113760225945202;-1.0;0.03362200223516205;0.042173737838926945;0.8071428571428573;1.0;0.039;0.0;5.0;2.0;;;;;;;;3463.002214913319;2.727473230860493;1269.6741349211238;0.8398824746833091;0.506018018018018;
16;;0.3996592105951926;0.8205456697843213;0.8605627000213318;-1.0;0.8096345280566557;-1.0;0.00368954631087313;0.004330145504989175;1.0;1.0;0.017;0.0;100.0;2.0;;;;;;;;185.73897911128344;0.9964560462107634;186.39957057573739;0.0;0.5337917917917918;0.5038401680843312;0.7540353613441437;0.6374987209203811;-1.0;0.7390802748374955;-1.0;0.02555717873206358;0.030627883981542522;0.8041666666666667;1.0;0.032;0.0;5.0;2.0;;;;;;;;3444.077368399172;0.9964560462107634;3456.326429546;0.8921052969961991;0.5291131131131132;
17;;0.41109066960740537;0.8011686538059188;0.8556841457186835;-1.0;0.7968108910334858;-1.0;0.003853088314884212;0.004113216066993699;1.0;1.0;0.019;0.0;100.0;2.0;;;;;;;;164.33071617496478;0.5981624394331564;274.72590276763515;0.0;0.5119639639639639;0.5462664058625446;0.6281568940495262;0.6224268418949849;-1.0;0.6200072532845577;-1.0;0.03642195742620114;0.048369853665933736;0.6547049441786285;1.0;0.052;0.0;5.0;2.0;;;;;;;;3131.6099484708884;0.5981624394331564;5235.383805506966;0.7808241162706975;0.5097877877877878;
18;;0.41497328738634975;0.7766756914676837;0.8614461267226767;-1.0;0.7620296599681453;-1.0;0.003456261274468391;0.0043569763801440155;1.0;1.0;0.021;0.0;100.0;2.0;;;;;;;;187.3232156922011;1.350922364936165;138.66319823719306;0.0;0.5331291291291291;0.5865644163667608;0.7247536016680916;0.6442842293096696;-1.0;0.7067024210930926;-1.0;0.08518074234699763;0.10232076611163834;0.851063829787234;1.0;0.049;0.0;5.0;2.0;;;;;;;;3733.482196286024;1.350922364936165;2763.6541471148435;0.9446838523216456;0.5521161161161161;
19;;0.4137490483657851;0.7817234172121315;0.8529884171780356;-1.0;0.7816831000090813;-1.0;0.003989997868939595;0.003993034108162607;1.0;1.0;0.021;0.0;100.0;2.0;;;;;;;;185.7994944622903;0.2516147802979585;738.4283794547733;0.0;0.49961761761761764;0.47635884329116096;0.9527090068140311;0.6138891812727603;-1.0;0.9527002718386601;-1.0;0.00788777256592292;0.00788777256592292;0.875;1.0;0.005;0.0;5.0;2.0;;;;;;;;3717.635049481691;0.2516147802979585;14775.10599766565;0.571307121500952;0.4996016016016016;
20;;0.4196200689414762;0.7691060210753159;0.8541362705450046;-1.0;0.7669932095335366;-1.0;0.003713898511469768;0.004042523147681197;1.0;1.0;0.022;0.0;100.0;2.0;;;;;;;;211.57316325748008;2.91169633892674;72.66319651157943;0.0;0.5024684684684685;0.49463585801480514;0.9657742637072793;0.6179690114408591;-1.0;0.9654610787078178;-1.0;0.014285714285714287;0.0071428571428571435;1.0;1.0;0.004;0.0;5.0;2.0;;;;;;;;3111.6099741227777;2.91169633892674;1068.658820126046;1.0;0.504912912912913;
21;;0.4225131443336839;0.7433501422170785;0.8752801371840782;-1.0;0.6970417669268019;-1.0;0.0035046475761744;0.005011879454795549;1.0;1.0;0.024;0.0;100.0;2.0;;;;;;;;190.83003647975846;2.281206623658013;83.65311344474105;0.0;0.5875555555555556;0.4283815776272083;0.9596313010706785;0.6727641710403758;-1.0;0.9523474129121261;-1.0;0.004120879120879121;0.006370441153049848;0.75;1.0;0.004;0.0;5.0;2.0;;;;;;;;3340.290901676662;2.281206623658013;1464.264949538136;0.6373949603122713;0.599951951951952;
22;;0.4206217630204634;0.8106823384998273;0.8545001422332172;-1.0;0.8077151249129276;-1.0;0.0036824166639530215;0.0040786088768764855;1.0;1.0;0.018;0.0;100.0;2.0;;;;;;;;231.02538240859533;1.627942404613008;141.91250363277706;0.0;0.5068228228228229;0.6389092525829165;0.5448503972191674;0.6316598921725194;-1.0;0.5377167464295814;-1.0;0.0606050724322875;0.10910836177474403;0.7186744073536526;1.0;0.076;0.0;5.0;2.0;;;;;;;;4056.8256581505957;1.627942404613008;2491.9958142591527;0.8854449672121387;0.5205485485485486;
23;;0.4020325344075354;0.8228945218514105;0.8570286339592086;-1.0;0.8171460698084793;-1.0;0.004018960874521966;0.004171784249640902;1.0;1.0;0.017;0.0;100.0;2.0;;;;;;;;249.79426945696613;4.126738238459759;60.53067944290015;0.0;0.5199299299299299;0.5691719666090216;0.6280593083434554;0.6397596968578656;-1.0;0.61598693626805;-1.0;0.059643580009556794;0.07478347768154564;0.8333333333333334;1.0;0.059;0.0;5.0;2.0;;;;;;;;3576.6026019938317;4.126738238459759;866.6899607688088;0.8694816503831679;0.5273013013013013;
24;;0.4054358053306014;0.8343825615394068;0.8589466463612514;-1.0;0.8267410866348988;-1.0;0.004248066748066748;0.004248066748066747;1.0;1.0;0.016;0.0;100.0;2.0;;;;;;;;269.3310916661019;4.128424205841858;65.2382309174986;0.0;0.5298038038038038;0.5104434218422673;0.7114651912835317;0.6314846565278733;-1.0;0.6981523933053855;-1.0;0.029555648268118614;0.03510730231888233;0.6547364672364672;1.0;0.038;0.0;5.0;2.0;;;;;;;;4128.2923512436;4.128424205841858;999.9680617611748;0.7862279771742922;0.525049049049049;
25;;0.40422559945930614;0.8222736738623015;0.8536748941599954;-1.0;0.8205277066248943;-1.0;0.003853363165107182;0.004046245108768076;1.0;1.0;0.017;0.0;100.0;2.0;;;;;;;;307.17553711461585;3.763134129161538;81.62758131160673;0.0;0.5046746746746746;0.43414880010324364;0.9617534679905637;0.6182165765181429;-1.0;0.9613777375442978;-1.0;0.0071428571428571435;0.0035714285714285718;1.0;1.0;0.004;0.0;5.0;2.0;;;;;;;;3252.9873900246735;3.763134129161538;864.4356747255963;0.848547956759003;0.5053293293293293;
26;;0.39603569840127817;0.8754911655133921;0.8551845573115524;-1.0;0.872494854359884;-1.0;0.004125137401657465;0.004125137401657465;1.0;1.0;0.012;0.0;100.0;2.0;;;;;;;;333.35983960537817;5.513337199761424;60.46425740471732;0.0;0.5157277277277277;0.5644310473529093;0.6712012354261156;0.6265027885568604;-1.0;0.6632886771758144;-1.0;0.039576298773026604;0.04595009286925624;0.7785345717234261;1.0;0.046;0.0;5.0;2.0;;;;;;;;4051.5682487822496;5.513337199761424;734.8667607266196;0.8729942236242725;0.5073573573573573;
27;;0.4199283528716735;0.760223813934932;0.8566783008761498;-1.0;0.7544535883632705;-1.0;0.003964041174047825;0.004125137401657465;1.0;1.0;0.023;0.0;100.0;2.0;;;;;;;;313.8541025936978;8.268882516882584;37.95604810600484;0.0;0.513961961961962;0.7151865240985865;0.22660395621202956;0.6242873174987642;-1.0;0.2079921428283762;-1.0;0.07058504034202326;0.09186732556706959;0.5918433235867446;1.0;0.124;0.0;5.0;2.0;;;;;;;;4616.6597096726055;8.268882516882584;558.3172454375507;0.8126380691365244;0.5144244244244244;
28;;0.39317376743699706;0.8764257087066807;0.8579915846470505;-1.0;0.8711083117952916;-1.0;0.004398187243145865;0.00423070427292687;1.0;1.0;0.012;0.0;100.0;2.0;;;;;;;;409.6117043020609;0.8336610908425186;491.3407963997662;0.0;0.5288188188188189;0.5211712617013724;0.8215183892250341;0.6373561279320226;-1.0;0.8138383325082056;-1.0;0.053254742809289136;0.043366968244097165;0.7916666666666667;1.0;0.026;0.0;5.0;2.0;;;;;;;;3740.7074606618917;0.8336610908425186;4487.08414216794;0.9456776374510274;0.5359299299299299;
29;;0.38926801180117965;0.9039673230738593;0.8555201240939709;-1.0;0.9008503148162091;-1.0;0.0033057851239669425;0.0016528925619834713;1.0;1.0;0.009;0.0;100.0;2.0;;;;;;;;538.8057600561395;1.2731817404048376;423.1962672389676;0.0;0.5174954954954955;0.5510603027264005;0.9094384581409438;0.6259374148077352;-1.0;0.9064990308247887;-1.0;0.013919543153455477;0.0187898140273744;0.85;1.0;0.011;0.0;5.0;2.0;;;;;;;;3916.6059234555287;1.2731817404048376;3076.23475829158;0.8335108323699592;0.5199299299299299;
