Nr;Event;0-CMM;0-GT cross entropy;0-FC cross entropy;0-Homogeneity;0-Completeness;0-V-Measure;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-time per object;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-GT cross entropy;1-FC cross entropy;1-Homogeneity;1-Completeness;1-V-Measure;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-time per object;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
0;;0.5485814309683286;0.5760306470171089;0.8557114035512462;-1.0;0.5759866019740769;-1.0;0.004679597391540184;0.007969265938531877;0.9754901960784315;1.0;0.042;0.0;101.0;2.0;;;;;;;4066.4289296283278;1.5536317377729598;2617.369889377592;0.2481101266870001;0.4994754754754755;0.5323407120343405;0.5665896573330447;0.615359173580198;-1.0;0.5665446314908253;-1.0;0.052184307356377434;0.051761309519414635;0.6494227994227995;1.0;0.063;0.0;5.0;2.0;;;;;;;3822.6039033816323;1.5536317377729598;2460.4311372147376;0.8351395586886632;0.4995975975975976;
1;;0.49619179847681916;0.7032155786911892;0.8719898199491711;-1.0;0.6622968886214843;-1.0;0.004528611333373005;0.007599800754287341;1.0;1.0;0.029;0.0;101.0;2.0;;;;;;;2892.9748963351476;1.5216581307656487;1901.1989867129334;0.22028862677761651;0.5708828828828829;0.4499513575996834;0.9468614170066069;0.6654692689335343;-1.0;0.9395350175997206;-1.0;0.05228758169934641;0.026143790849673203;1.0;1.0;0.008;0.0;5.0;2.0;;;;;;;2700.47388373807;1.5216581307656487;1774.6915875113682;1.0;0.5877877877877878;
2;;0.6288656533459803;0.22131710475998312;0.8636057343130081;-1.0;0.20300419627006983;-1.0;0.005406221092861826;0.009910182579674106;0.9545454545454546;1.0;0.079;0.0;101.0;2.0;;;;;;;4976.828258830405;2.589191888004123;1922.1550484104093;0.4157056022833216;0.5103523523523523;0.583511787914663;0.4710024289956859;0.6229625410655037;-1.0;0.45856156999081155;-1.0;0.06313980453584615;0.11537862683228314;0.6340958605664487;1.0;0.091;0.0;5.0;2.0;;;;;;;4566.357333059742;2.589191888004123;1763.6226014054585;0.891521616151312;0.505965965965966;
3;;0.5795686382096461;0.43859257504119353;0.862150603540989;-1.0;0.41849690526942696;-1.0;0.004862406829720086;0.009991019308486754;0.9801587301587302;1.0;0.056;0.0;101.0;2.0;;;;;;;3364.2085544657357;0.9491687640673917;3544.3734368684663;0.3639195409335109;0.5134634634634635;0.48759350316023176;0.6162989501048363;0.6267925517799586;-1.0;0.6025643088318977;-1.0;0.03394718559439117;0.046423743394371386;0.6108350586611456;1.0;0.054;0.0;5.0;2.0;;;;;;;3118.2263797845308;0.9491687640673917;3285.2180748366204;0.7717544308521455;0.519063063063063;
4;;0.5990890604844452;0.4267363590618689;0.8669577531409349;-1.0;0.388577317052869;-1.0;0.004815809658680338;0.010240473676009764;1.0;1.0;0.057;0.0;101.0;2.0;;;;;;;5311.170029264804;1.4563372730001478;3646.93682413515;0.385236158174638;0.5282682682682682;0.5299351939196757;0.6954885041497367;0.64614976526935;-1.0;0.6752188304209825;-1.0;0.05496755898197812;0.07130927719163013;0.85;1.0;0.045;0.0;5.0;2.0;;;;;;;4852.390440523795;1.4563372730001478;3331.9139257677316;0.9009421622783798;0.5409069069069069;
5;;0.5082870461801978;0.6675247558526277;0.8579144288422881;-1.0;0.6609162571253213;-1.0;0.0047119803015142694;0.007514839973073863;1.0;1.0;0.033;0.0;101.0;2.0;;;;;;;3258.5989564706665;0.967484563170165;3368.1146764690357;0.25411254264306526;0.5113893893893894;0.6895132561572275;0.10725276228324054;0.634452511655647;-1.0;0.08950792537248853;-1.0;0.07923421997434728;0.12147157403142025;0.7699123945489943;1.0;0.151;0.0;5.0;2.0;;;;;;;3020.1000332148546;0.967484563170165;3121.600228244332;0.8573573786963177;0.5052532532532532;
6;;0.5770483777937218;0.43356898448163417;0.8596412538151127;-1.0;0.4231373452285536;-1.0;0.004541027053423559;0.009882771562964587;0.9545454545454546;1.0;0.056;0.0;101.0;2.0;;;;;;;4221.354887160001;0.0847897512813543;49786.14541694379;0.27075643903991037;0.5072552552552553;0.6033486049561285;0.5306904139134248;0.6253800268690826;-1.0;0.5220474050280666;-1.0;0.055850531909807655;0.11892459767919392;0.7666666666666666;1.0;0.082;0.0;5.0;2.0;;;;;;;3954.181875769678;0.0847897512813543;46635.13945982317;0.9106743788418865;0.516006006006006;
7;;0.5861121712613033;0.36508811001255237;0.8578015611368666;-1.0;0.3639405818863155;-1.0;0.004760397460838926;0.007987938531062659;0.9444444444444443;1.0;0.063;0.0;101.0;2.0;;;;;;;3588.9616262507416;0.2989971836909988;12003.329201788685;0.2597637665162571;0.5005245245245246;0.4735412718044397;0.7112870682201997;0.617432698396981;-1.0;0.7107652537529479;-1.0;0.03446542609305133;0.03484420655530734;0.7321428571428571;1.0;0.039;0.0;5.0;2.0;;;;;;;3508.416591465326;0.2989971836909988;11733.945277194078;0.8103459591938013;0.4998718718718719;
8;;0.5410332758370007;0.6000818774199304;0.8557050312781402;-1.0;0.599299949866145;-1.0;0.004968734440321376;0.007989559460147694;0.9666666666666667;1.0;0.04;0.0;101.0;2.0;;;;;;;3765.613117865222;3.309507139846705;1137.816888964211;0.4045475561960712;0.4997997997997998;0.4732409676302969;0.7959087002563233;0.6164155976726235;-1.0;0.7955096570478588;-1.0;0.04063323090430202;0.03377187651920273;0.7666666666666666;1.0;0.028;0.0;5.0;2.0;;;;;;;3904.4878391741468;3.309507139846705;1179.7792463306187;0.8388631171374451;0.4996036036036036;
9;;0.5522423632114561;0.5490362388257859;0.8557491575215892;-1.0;0.5490037057776991;-1.0;0.004910531091942742;0.007968918044757698;0.965686274509804;1.0;0.045;0.0;101.0;2.0;;;;;;;3644.342719694307;5.962522708297968;611.208191227938;0.28433765089548924;0.4995095095095095;0.5332353381933488;0.8820311924578746;0.6191270694433477;-1.0;0.8820226820514541;-1.0;0.019952478289218412;0.015904572564612324;1.0;1.0;0.015;0.0;5.0;2.0;;;;;;;3526.566545597946;5.962522708297968;591.4554489981342;0.9731862352791123;0.5001681681681681;
10;;0.5263829700238318;0.5517400835340969;0.8562997197556704;-1.0;0.5512725648976787;-1.0;0.0050373106651009575;0.00988791318626401;0.9754901960784315;1.0;0.045;0.0;101.0;2.0;;;;;;;3681.8086310873878;3.212203924019364;1146.1939273395872;0.3605152027387086;0.500062062062062;0.6673598621142396;0.4809833335370214;0.6161331434346324;-1.0;0.4804420182079683;-1.0;0.050643645485038795;0.12682705929509247;0.6833964646464646;1.0;0.09;0.0;5.0;2.0;;;;;;;3316.9795693019237;3.212203924019364;1032.6179930542692;0.8534908080419723;0.5016976976976977;
11;;0.60238019092249;0.23160827725811117;0.8624908073793214;-1.0;0.2257877748654621;-1.0;0.005372549339321576;0.008051226328472392;0.9824561403508771;1.0;0.078;0.0;101.0;2.0;;;;;;;3082.3009023674554;3.1981036132959724;963.7901941490975;0.4670389415227297;0.5052312312312313;0.45589095700664395;0.9894527064039043;0.6163884125891208;-1.0;0.9893728115458584;-1.0;0.0036231884057971015;0.0018115942028985507;1.0;1.0;0.001;0.0;5.0;2.0;;;;;;;2933.9962497041965;3.1981036132959724;917.4175087718355;0.5;0.5045045045045045;
12;;0.5831011860604667;0.31221432653407444;0.8593460790348643;-1.0;0.3121964651934276;-1.0;0.006061843534421792;0.00993686978700484;0.9621212121212122;1.0;0.071;0.0;101.0;2.0;;;;;;;5677.145765405253;6.013631247488223;944.0462063210954;0.5593564885563764;0.4995995995995996;0.47303054579880643;0.9002167461846524;0.6171922565413817;-1.0;0.9002141548793141;-1.0;0.023723865877712032;0.021700150462692268;0.8333333333333333;1.0;0.013;0.0;5.0;2.0;;;;;;;5271.837963330988;6.013631247488223;876.6480261876603;0.9484078588554122;0.4998718718718719;
13;;0.5876626378737879;0.4085428403692474;0.8574870165614847;-1.0;0.40853601393376704;-1.0;0.0048955661704240365;0.007968253968253968;0.9431818181818182;1.0;0.059;0.0;101.0;2.0;;;;;;;3644.0115914784396;1.4736667279941902;2472.7514859742464;0.3520585406010212;0.4996816816816817;0.47319728602953004;0.817138140219503;0.6164045513337322;-1.0;0.8171360296783299;-1.0;0.03495409724583475;0.032860055745739566;0.7941176470588236;1.0;0.025;0.0;5.0;2.0;;;;;;;3150.3759515206434;1.4736667279941902;2137.7804707639866;0.8331137771346326;0.4996136136136136;
14;;0.5634239656613187;0.47414560522680804;0.8594971153583785;-1.0;0.46567191549449993;-1.0;0.004570275744890625;0.010465229215229216;0.9883720930232558;1.0;0.052;0.0;101.0;2.0;;;;;;;3911.5985501701407;3.861109733939222;1013.0762448389179;0.2639485294786672;0.505005005005005;0.3678794411714412;1.0;0.6192821326191471;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;;;;;;;3595.018855999152;3.861109733939222;931.0843523557161;0.5;0.5104624624624624;
15;;0.5857672543206547;0.3367565579693125;0.8608647512628679;-1.0;0.3245419790802947;-1.0;0.005221962268257772;0.009882771562964587;0.963768115942029;1.0;0.067;0.0;101.0;2.0;;;;;;;3995.9689175639874;2.727473230860493;1465.080893315787;0.44724016849978654;0.5053393393393394;0.5136174220793421;0.7165953259888023;0.623648905166851;-1.0;0.7113760225945202;-1.0;0.03362200223516205;0.042173737838926945;0.8071428571428573;1.0;0.039;0.0;5.0;2.0;;;;;;;3463.002214913319;2.727473230860493;1269.6741349211238;0.8398824746833091;0.506018018018018;
16;;0.5841853688298533;0.2816937232058191;0.8648568546322183;-1.0;0.2380194269068473;-1.0;0.00442279361196627;0.010190491738484145;0.9081632653061225;1.0;0.071;0.0;101.0;2.0;;;;;;;3779.1026812873674;0.9964560462107634;3792.5432794132876;0.2808903965211561;0.5233953953953954;0.5038401680843312;0.7540353613441437;0.6374987209203811;-1.0;0.7390802748374955;-1.0;0.02555717873206358;0.030627883981542522;0.8041666666666667;1.0;0.032;0.0;5.0;2.0;;;;;;;3444.077368399172;0.9964560462107634;3456.326429546;0.8921052969961991;0.5291131131131132;
17;;0.5181154115846415;0.7339380673950102;0.8572503247678748;-1.0;0.7281068199219087;-1.0;0.004396179905567174;0.005810999098434555;1.0;1.0;0.026;0.0;101.0;2.0;;;;;;;3319.5735428946095;0.5981624394331564;5549.61883939148;0.14995334190524762;0.5136516516516516;0.5462664058625446;0.6281568940495262;0.6224268418949849;-1.0;0.6200072532845577;-1.0;0.03642195742620114;0.048369853665933736;0.6547049441786285;1.0;0.052;0.0;5.0;2.0;;;;;;;3131.6099484708884;0.5981624394331564;5235.383805506966;0.7808241162706975;0.5097877877877878;
18;;0.6050994901769637;0.43344231634609887;0.866551613906913;-1.0;0.39628638945379735;-1.0;0.005762500915979103;0.016072195960464115;0.9615384615384616;1.0;0.058;0.0;101.0;2.0;;;;;;;5070.634957417551;1.350922364936165;3753.4614046138418;0.3508540602626786;0.5370990990990991;0.5865644163667608;0.7247536016680916;0.6442842293096696;-1.0;0.7067024210930926;-1.0;0.08518074234699763;0.10232076611163834;0.851063829787234;1.0;0.049;0.0;5.0;2.0;;;;;;;3733.482196286024;1.350922364936165;2763.6541471148435;0.9446838523216456;0.5521161161161161;
19;;0.5823678110694779;0.5803836081657601;0.8564890285817116;-1.0;0.5803061020995723;-1.0;0.0049437693315720205;0.007970151623402397;1.0;1.0;0.042;0.0;101.0;2.0;;;;;;;4122.329126246318;0.2516147802979585;16383.493534699024;0.35373152611427144;0.500006006006006;0.47635884329116096;0.9527090068140311;0.6138891812727603;-1.0;0.9527002718386601;-1.0;0.00788777256592292;0.00788777256592292;0.875;1.0;0.005;0.0;5.0;2.0;;;;;;;3717.635049481691;0.2516147802979585;14775.10599766565;0.571307121500952;0.4996016016016016;
20;;0.5837966368749384;0.5066831043839671;0.8585468491520355;-1.0;0.5021689735449283;-1.0;0.0057219247051958425;0.013854266538830297;0.9852941176470589;1.0;0.051;0.0;101.0;2.0;;;;;;;3572.1963117166692;2.91169633892674;1226.8437006839083;0.4820352688208248;0.5027367367367367;0.49463585801480514;0.9657742637072793;0.6179690114408591;-1.0;0.9654610787078178;-1.0;0.014285714285714287;0.0071428571428571435;1.0;1.0;0.004;0.0;5.0;2.0;;;;;;;3111.6099741227777;2.91169633892674;1068.658820126046;1.0;0.504912912912913;
21;;0.5767831814581865;0.5821322579887289;0.8785305849419841;-1.0;0.5067346856467034;-1.0;0.0048210456517717715;0.00999362955884695;0.9857142857142858;1.0;0.041;0.0;101.0;2.0;;;;;;;3819.2989012125095;2.281206623658013;1674.2450515456155;0.2384090111988994;0.5902082082082082;0.4283815776272083;0.9596313010706785;0.6727641710403758;-1.0;0.9523474129121261;-1.0;0.004120879120879121;0.006370441153049848;0.75;1.0;0.004;0.0;5.0;2.0;;;;;;;3340.290901676662;2.281206623658013;1464.264949538136;0.6373949603122713;0.599951951951952;
22;;0.5855495619114783;0.49734721173830854;0.8596265027962555;-1.0;0.48946903401836184;-1.0;0.0047985052659666105;0.008140265531569879;0.9878048780487805;1.0;0.05;0.0;101.0;2.0;;;;;;;4117.283428359018;1.627942404613008;2529.1333505977273;0.3103415743036795;0.5090790790790791;0.6389092525829165;0.5448503972191674;0.6316598921725194;-1.0;0.5377167464295814;-1.0;0.0606050724322875;0.10910836177474403;0.7186744073536526;1.0;0.076;0.0;5.0;2.0;;;;;;;4056.8256581505957;1.627942404613008;2491.9958142591527;0.8854449672121387;0.5205485485485486;
23;;0.5748754643863565;0.5691678842392484;0.8607943809811095;-1.0;0.555184026812052;-1.0;0.005579195591267872;0.0133003300330033;0.9919354838709677;1.0;0.044;0.0;101.0;2.0;;;;;;;3883.079111635989;4.126738238459759;940.9560013879843;0.443961538531642;0.517955955955956;0.5691719666090216;0.6280593083434554;0.6397596968578656;-1.0;0.61598693626805;-1.0;0.059643580009556794;0.07478347768154564;0.8333333333333334;1.0;0.059;0.0;5.0;2.0;;;;;;;3576.6026019938317;4.126738238459759;866.6899607688088;0.8694816503831679;0.5273013013013013;
24;;0.5814339993786748;0.5456898136928334;0.8635464876950584;-1.0;0.5247282536071507;-1.0;0.005426973620892084;0.010069377123251871;0.9904761904761904;1.0;0.046;0.0;101.0;2.0;;;;;;;4533.3476680543135;4.128424205841858;1098.0818447967326;0.365464362313197;0.5298518518518519;0.5104434218422673;0.7114651912835317;0.6314846565278733;-1.0;0.6981523933053855;-1.0;0.029555648268118614;0.03510730231888233;0.6547364672364672;1.0;0.038;0.0;5.0;2.0;;;;;;;4128.2923512436;4.128424205841858;999.9680617611748;0.7862279771742922;0.525049049049049;
25;;0.6339798294859949;0.3416879684013797;0.860425116830568;-1.0;0.335220770974074;-1.0;0.005421850699184441;0.012089166616595566;0.9751773049645389;1.0;0.067;0.0;101.0;2.0;;;;;;;4411.798323496791;3.763134129161538;1172.3733919842452;0.4138466410636761;0.5047547547547547;0.43414880010324364;0.9617534679905637;0.6182165765181429;-1.0;0.9613777375442978;-1.0;0.0071428571428571435;0.0035714285714285718;1.0;1.0;0.004;0.0;5.0;2.0;;;;;;;3252.9873900246735;3.763134129161538;864.4356747255963;0.848547956759003;0.5053293293293293;
26;;0.5981371240280542;0.4804286857633958;0.8613704689407703;-1.0;0.46792517683321266;-1.0;0.005416892099619028;0.01399792925216654;0.9871794871794872;1.0;0.053;0.0;101.0;2.0;;;;;;;4191.593962087012;5.513337199761424;760.2643934545474;0.3911106147648504;0.5147307307307307;0.5644310473529093;0.6712012354261156;0.6265027885568604;-1.0;0.6632886771758144;-1.0;0.039576298773026604;0.04595009286925624;0.7785345717234261;1.0;0.046;0.0;5.0;2.0;;;;;;;4051.5682487822496;5.513337199761424;734.8667607266196;0.8729942236242725;0.5073573573573573;
