Nr;Event;0-CMM;0-GT cross entropy;0-FC cross entropy;0-Homogeneity;0-Completeness;0-V-Measure;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-time per object;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-GT cross entropy;1-FC cross entropy;1-Homogeneity;1-Completeness;1-V-Measure;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-time per object;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
27;;0.5946187631740529;0.41669528000629885;0.8614032318721943;-1.0;0.402658023568893;-1.0;0.005237434880499963;0.011588375666045569;0.9806201550387598;1.0;0.059;0.0;101.0;2.0;;;;;;;4451.31590000479;8.268882516882584;538.3213379699778;0.39087721056151115;0.5106246246246247;0.7151865240985865;0.22660395621202956;0.6242873174987642;-1.0;0.2079921428283762;-1.0;0.07058504034202326;0.09186732556706959;0.5918433235867446;1.0;0.124;0.0;5.0;2.0;;;;;;;4616.6597096726055;8.268882516882584;558.3172454375507;0.8126380691365244;0.5144244244244244;
28;;0.6160893128661105;0.34859657867217053;0.8663381978100059;-1.0;0.32056671498138656;-1.0;0.005931945023937193;0.011642477861270949;0.9929078014184398;1.0;0.067;0.0;101.0;2.0;;;;;;;3920.950145508248;0.8336610908425186;4703.290328142385;0.49072392256816505;0.5274814814814814;0.5211712617013724;0.8215183892250341;0.6373561279320226;-1.0;0.8138383325082056;-1.0;0.053254742809289136;0.043366968244097165;0.7916666666666667;1.0;0.026;0.0;5.0;2.0;;;;;;;3740.7074606618917;0.8336610908425186;4487.08414216794;0.9456776374510274;0.5359299299299299;
29;;0.6341143988231566;0.19139843260329537;0.8655099578169833;-1.0;0.16515301444565234;-1.0;0.006368250210300134;0.0133003300330033;0.9477124183006537;1.0;0.084;0.0;101.0;2.0;;;;;;;4209.082665745859;1.2731817404048376;3305.9558837275536;0.4725863012834837;0.5238098098098098;0.5510603027264005;0.9094384581409438;0.6259374148077352;-1.0;0.9064990308247887;-1.0;0.013919543153455477;0.0187898140273744;0.85;1.0;0.011;0.0;5.0;2.0;;;;;;;3916.6059234555287;1.2731817404048376;3076.23475829158;0.8335108323699592;0.5199299299299299;
30;;0.6450172895540183;0.3362013580208215;0.8665641342484427;-1.0;0.3066165519374584;-1.0;0.005196357434263856;0.012661095449053566;0.9905660377358491;1.0;0.067;0.0;101.0;2.0;;;;;;;4545.258638986751;1.589460683592198;2859.623195406393;0.3251209818235266;0.5274634634634635;0.5174794167487405;0.7954843804210033;0.6347639735795831;-1.0;0.7863693347375365;-1.0;0.04454858132431111;0.04454858132431111;0.7916666666666667;1.0;0.029;0.0;5.0;2.0;;;;;;;4130.971097579594;1.589460683592198;2598.976583833175;0.976415137903689;0.5220620620620621;
31;;0.6262558964569769;0.2819082190120815;0.8627305077381555;-1.0;0.26798923161154653;-1.0;0.005780393965995471;0.014593251076783578;0.977891156462585;1.0;0.074;0.0;101.0;2.0;;;;;;;4155.092347960772;1.51135411963361;2749.251346182237;0.44859044687079574;0.5096116116116116;0.5617378183821694;0.6903397192649982;0.6350098911008217;-1.0;0.6843374815843679;-1.0;0.06277749721187635;0.05011300216779668;0.852991452991453;1.0;0.047;0.0;5.0;2.0;;;;;;;4124.819714554179;1.51135411963361;2729.2212069757275;0.886153484383221;0.5257197197197198;
32;;0.6038722304410371;0.33243984275165206;0.8612781491058326;-1.0;0.3285110762060539;-1.0;0.005386848970960619;0.012024670895355881;0.9901960784313726;1.0;0.068;0.0;101.0;2.0;;;;;;;3997.640523119259;0.42948070256080084;9308.07949992426;0.39589839005935706;0.5063763763763763;0.46042710083177607;0.8687818855003645;0.6171786349632272;-1.0;0.8680096324939125;-1.0;0.059071729957805914;0.038401113205853314;0.7368421052631579;1.0;0.019;0.0;5.0;2.0;;;;;;;4254.744638150148;0.42948070256080084;9906.719004558327;1.0;0.5053373373373373;
33;;0.6336828940230645;0.4118819405509765;0.8641406240723993;-1.0;0.38833081171471184;-1.0;0.0055331472013559055;0.01513714528165323;0.9761904761904762;1.0;0.06;0.0;101.0;2.0;;;;;;;4613.493095531118;1.4828457687556416;3111.2427150145354;0.4602832821072705;0.5215675675675676;0.47758043853438426;0.9063227372936228;0.6280811410556444;-1.0;0.9025714406830522;-1.0;0.025518341307814992;0.022834737404537217;0.6666666666666666;1.0;0.012;0.0;5.0;2.0;;;;;;;4149.702832735347;1.4828457687556416;2798.4723159831046;1.0;0.5241661661661662;
34;;0.6172156356418603;0.3257173371611145;0.8620584552200659;-1.0;0.31329945519378477;-1.0;0.005449839373963768;0.015637115533729647;0.9791666666666666;1.0;0.069;0.0;101.0;2.0;;;;;;;4067.776273489948;2.6591070752631767;1529.7527171174004;0.4282462567854687;0.5059139139139139;0.7271480600640878;0.29946951119493204;0.6268557048007966;-1.0;0.28656823788045604;-1.0;0.056636756097657524;0.07550621421589163;0.7177734508437521;1.0;0.106;0.0;5.0;2.0;;;;;;;4320.365738481945;2.6591070752631767;1624.7430495270112;0.8239360393666877;0.5135795795795796;
35;;0.6236998516342367;0.4466980891078476;0.8744100430517474;-1.0;0.3772643459632268;-1.0;0.00530916649510178;0.010797667182172205;0.9642857142857143;1.0;0.056;0.0;101.0;2.0;;;;;;;5005.961929483134;9.558703400458974;523.7072142276918;0.26406955987147773;0.5718178178178178;0.6463214016977814;0.604954214319779;0.6593167212545743;-1.0;0.5553799998207587;-1.0;0.044646101340427326;0.05514532087958661;0.8556547619047619;1.0;0.058;0.0;5.0;2.0;;;;;;;4753.674637219046;9.558703400458974;497.3137504183666;0.8752477732015496;0.5473073073073073;
36;;0.6325769011075102;0.42195446099121225;0.8673201458364408;-1.0;0.381741685659019;-1.0;0.005247759069230275;0.01154677289177016;0.9696969696969696;1.0;0.058;0.0;101.0;2.0;;;;;;;4156.6103355633595;0.7750950078991828;5362.710755716817;0.27310942984092823;0.5393053053053053;0.6817519258206335;0.43287767690228995;0.6430406783239655;-1.0;0.3934247946887087;-1.0;0.05070709868051099;0.10084797092671108;0.8098831985624438;1.0;0.093;0.0;5.0;2.0;;;;;;;4263.43515069723;0.7750950078991828;5500.5323311949105;0.8716970629865597;0.5195255255255256;
37;;0.6666247863061903;0.2683619358763195;0.8717410732286694;-1.0;0.20806268654097593;-1.0;0.00583628471313037;0.010383174928452813;0.9934640522875816;1.0;0.075;0.0;101.0;2.0;;;;;;;4882.823993433843;24.75068412063138;197.28036484307424;0.5018647590866875;0.5384224224224224;0.5927472652730792;0.5928422195312251;0.6509598827321603;-1.0;0.559285588558617;-1.0;0.054582348083022314;0.0544890221888079;0.8964646464646465;1.0;0.062;0.0;5.0;2.0;;;;;;;4197.10250803324;24.75068412063138;169.57521204574178;0.8878826353199231;0.5226926926926927;
38;;0.6603590097845866;0.3273035942712549;0.8595180904036162;-1.0;0.3253087618169376;-1.0;0.005671545404783809;0.011976903387106375;0.967391304347826;1.0;0.069;0.0;101.0;2.0;;;;;;;4539.982982888244;0.4243378153847521;10698.982787503366;0.4286741238490518;0.5025965965965966;0.5512564859325497;0.7275547269928977;0.6145032409359612;-1.0;0.726746810274462;-1.0;0.025726781995895145;0.027127031862651793;0.6039377289377289;1.0;0.035;0.0;5.0;2.0;;;;;;;4259.79445971793;0.4243378153847521;10038.686879357014;0.7682274195770511;0.5007187187187188;
39;;0.5711922721809072;0.5385318377777125;0.8574269567444746;-1.0;0.5346084799004189;-1.0;0.00473845856366337;0.012067510885950428;0.9722222222222222;1.0;0.046;0.0;101.0;2.0;;;;;;;3916.9173571756996;1.7212661342208668;2275.6024064510493;0.3044715955560987;0.5025685685685686;0.5908179585111224;0.6941595355578667;0.6224461698923163;-1.0;0.6915593093806462;-1.0;0.0416664452216761;0.044769171378613436;0.8243589743589744;1.0;0.043;0.0;5.0;2.0;;;;;;;3878.0958266567022;1.7212661342208668;2253.0483517658513;0.8709136167295531;0.5018158158158158;
40;;0.6209267263443856;0.3397750110286265;0.859022795876214;-1.0;0.33793802800468087;-1.0;0.0052149446351024194;0.014074637147540205;0.9468085106382979;1.0;0.067;0.0;101.0;2.0;;;;;;;4366.3946016011105;1.193694882584343;3657.881645724986;0.3736811339973266;0.5007027027027027;0.5806455446439203;0.6692126366176014;0.6204341869360922;-1.0;0.6682922673779944;-1.0;0.04270952790148402;0.04769307998921089;0.7309941520467836;1.0;0.047;0.0;5.0;2.0;;;;;;;4469.280742006631;1.193694882584343;3744.072968069246;0.8898850027326366;0.5002522522522522;
41;;0.6300187061265337;0.44260257225588506;0.857801969298009;-1.0;0.44254466572675;-1.0;0.005920581740458067;0.01582095311595601;0.9756756756756757;1.0;0.058;0.0;101.0;2.0;;;;;;;5052.869026892985;2.023335073030803;2497.2972070929254;0.4576429951960438;0.4995915915915916;0.5459610979474734;0.6692340018228755;0.631854929423815;-1.0;0.6691996394272903;-1.0;0.06599811717635291;0.043608414239482196;0.9841269841269842;1.0;0.053;0.0;5.0;2.0;;;;;;;3757.140080746234;2.023335073030803;1856.904538860349;0.9336913798433837;0.5018958958958959;
42;;0.6586323245693095;0.41432050926448194;0.8591526517618473;-1.0;0.4122413157902184;-1.0;0.005572180866577119;0.009858863424691337;0.9880952380952381;1.0;0.06;0.0;101.0;2.0;;;;;;;4062.6573214317086;2.7919750510114163;1455.1194932633719;0.4457416654790161;0.5026186186186187;0.5909799702330523;0.7461609761136504;0.6164405440736898;-1.0;0.7452598340208735;-1.0;0.030737801549576754;0.03167931298602805;0.6654761904761904;1.0;0.033;0.0;5.0;2.0;;;;;;;4196.518898459336;2.7919750510114163;1503.0646126078784;0.8174655827359811;0.5036676676676677;
43;;0.6153626945786694;0.48545288611883675;0.86320542706227;-1.0;0.4574237957370939;-1.0;0.005268563268799659;0.01278149726110773;0.9528571428571428;1.0;0.052;0.0;101.0;2.0;;;;;;;4675.757611485992;0.9337041717679753;5007.750584033927;0.33017203623698355;0.5257157157157157;0.5036521784312439;0.7694286121865416;0.6350415968812944;-1.0;0.7568686228403378;-1.0;0.03391327470607229;0.041891913569354663;0.7246963562753037;1.0;0.032;0.0;5.0;2.0;;;;;;;4293.090469133771;0.9337041717679753;4597.912913899458;0.8210152011278954;0.5287887887887888;
44;;0.626467631697673;0.44052244162733223;0.8603794288463904;-1.0;0.4310026673684294;-1.0;0.005501356320663864;0.01280600200498011;0.9791666666666666;1.0;0.057;0.0;101.0;2.0;;;;;;;4041.151866459494;0.345790091630266;11686.71967264022;0.4287261481883903;0.5090690690690691;0.5391298072578076;0.84044829920414;0.6219540959058485;-1.0;0.8377334518407917;-1.0;0.017240621014205922;0.01899986805647183;0.7238095238095238;1.0;0.019;0.0;5.0;2.0;;;;;;;4306.430580169248;0.345790091630266;12453.886575714474;0.8264430460243928;0.509033033033033;
