Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.55995965947534;-1.0;0.642979301159246;-1.0;0.5882352941176471;;;;;;1095.8917501381902;1.0;0.5323407120343405;-1.0;0.5665446314908253;-1.0;0.6494227994227995;;;;;;246.74408276316606;0.8351395586886632;
1;;0.6599417619388667;-1.0;0.33251180559720894;-1.0;0.6751662971175166;;;;;;1119.9865121381804;0.9345808691976111;0.4499513575996834;-1.0;0.9395350175997206;-1.0;1.0;;;;;;308.4548303146806;1.0;
2;;0.5012680651666058;-1.0;0.6355521670945508;-1.0;0.6911764705882353;;;;;;1115.9761120735957;1.0;0.583511787914663;-1.0;0.45856156999081155;-1.0;0.6340958605664487;;;;;;451.0554577273415;0.891521616151312;
3;;0.5006354690034827;-1.0;0.6385399195375752;-1.0;0.5151515151515151;;;;;;1125.5881553286904;1.0;0.48759350316023176;-1.0;0.6025643088318977;-1.0;0.6108350586611456;;;;;;259.6370975357081;0.7717544308521455;
4;;0.4950410902146939;-1.0;0.6369942841737027;-1.0;0.6119402985074627;;;;;;1109.1649410223215;1.0;0.5299351939196757;-1.0;0.6752188304209825;-1.0;0.85;;;;;;251.9817075023402;0.9009421622783798;
5;;0.6810751234961314;-1.0;0.47357059122973544;-1.0;0.7611940298507462;;;;;;1112.1213267018993;0.9263231657543287;0.6895132561572275;-1.0;0.08950792537248853;-1.0;0.7699123945489943;;;;;;401.68332121951244;0.8573573786963177;
6;;0.49497405432124375;-1.0;0.6584913556212348;-1.0;0.5806451612903226;;;;;;1104.7523537170748;1.0;0.6033486049561285;-1.0;0.5220474050280666;-1.0;0.7666666666666666;;;;;;448.41683709892897;0.9106743788418865;
7;;0.5911010549667243;-1.0;0.6808690666804016;-1.0;0.9104477611940298;;;;;;1112.5438742947408;1.0;0.4735412718044397;-1.0;0.7107652537529479;-1.0;0.7321428571428571;;;;;;243.66538904968797;0.8103459591938013;
8;;0.5860192979024328;-1.0;0.6571951978597126;-1.0;0.7941176470588235;;;;;;1113.0048108605083;1.0;0.4732409676302969;-1.0;0.7955096570478588;-1.0;0.7666666666666666;;;;;;247.51669122912963;0.8388631171374451;
9;;0.5956924112714956;-1.0;0.6272032838695243;-1.0;0.5555555555555556;;;;;;1124.9367284407188;1.0;0.5332353381933488;-1.0;0.8820226820514541;-1.0;1.0;;;;;;246.4249223016606;0.9731862352791123;
10;;0.5071383290560031;-1.0;0.6106578146291202;-1.0;0.5844155844155844;;;;;;1108.707935953207;1.0;0.6673598621142396;-1.0;0.4804420182079683;-1.0;0.6833964646464646;;;;;;386.9530270318763;0.8534908080419723;
11;;0.5301981586425253;-1.0;0.6751566388339512;-1.0;0.5254237288135594;;;;;;1141.6443682790625;1.0;0.45589095700664395;-1.0;0.9893728115458584;-1.0;1.0;;;;;;280.3846150075075;0.5;
12;;0.5179710117525691;-1.0;0.642091542186119;-1.0;0.6376811594202898;;;;;;1116.7795442578436;1.0;0.47303054579880643;-1.0;0.9002141548793141;-1.0;0.8333333333333333;;;;;;248.5477797710287;0.9484078588554122;
13;;0.5772053196577382;-1.0;0.6889959001041672;-1.0;0.819672131147541;;;;;;1138.5741281281234;1.0;0.47319728602953004;-1.0;0.8171360296783299;-1.0;0.7941176470588236;;;;;;259.6239316051543;0.8331137771346326;
14;;0.5249828978183888;-1.0;0.6191918546530574;-1.0;0.6712328767123288;;;;;;1118.585594306262;1.0;0.3678794411714412;1.0;1.0;1.0;0.0;;;;;;304.18658203023705;0.5;
15;;0.5384689665760719;-1.0;0.643433844603325;-1.0;0.6363636363636364;;;;;;1125.6298886530162;1.0;0.5136174220793421;-1.0;0.7113760225945202;-1.0;0.8071428571428573;;;;;;251.04013759959213;0.8398824746833091;
16;;0.5310413729222324;-1.0;0.6522050271020695;-1.0;0.8571428571428571;;;;;;1124.0527154352274;1.0;0.5038401680843312;-1.0;0.7390802748374955;-1.0;0.8041666666666667;;;;;;248.75290671858244;0.8921052969961991;
17;;0.5574387018744482;-1.0;0.6403365221740234;-1.0;0.5882352941176471;;;;;;1139.5888076157116;1.0;0.5462664058625446;-1.0;0.6200072532845577;-1.0;0.6547049441786285;;;;;;267.61904699311583;0.7808241162706975;
18;;0.5695997941660015;-1.0;0.7274640108603887;-1.0;0.7021276595744681;;;;;;1160.0250989221393;1.0;0.5865644163667608;-1.0;0.7067024210930926;-1.0;0.851063829787234;;;;;;521.9342220817279;0.9446838523216456;
19;;0.5409297196630859;-1.0;0.6674328154290412;-1.0;0.6290322580645161;;;;;;1175.254202665922;1.0;0.47635884329116096;-1.0;0.9527002718386601;-1.0;0.875;;;;;;359.4071557408442;0.571307121500952;
20;;0.696505675573929;-1.0;0.5465454208125289;-1.0;0.9208333333333334;;;;;;1180.596521680441;0.9299240941864612;0.49463585801480514;-1.0;0.9654610787078178;-1.0;1.0;;;;;;348.23708203987655;1.0;
21;;0.6960393197356718;-1.0;0.2643677595328898;-1.0;0.8515151515151516;;;;;;1183.2233238559477;0.9274036794331837;0.4283815776272083;-1.0;0.9523474129121261;-1.0;0.75;;;;;;357.5153784542167;0.6373949603122713;
