Nr;Event;0-CMM;0-GT cross entropy;0-FC cross entropy;0-Homogeneity;0-Completeness;0-V-Measure;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-time per object;0-mean abs. error;0-root mean sq. er.;0-;0-Ram-Hours;0-Time;0-Memory;0-BSS;0-BSS-GT;0-BSS-Ratio;0-SilhCoeff;0-Rand statistic;1-CMM;1-GT cross entropy;1-FC cross entropy;1-Homogeneity;1-Completeness;1-V-Measure;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-time per object;1-mean abs. error;1-root mean sq. er.;1-;1-Ram-Hours;1-Time;1-Memory;1-BSS;1-BSS-GT;1-BSS-Ratio;1-SilhCoeff;1-Rand statistic;
0;;0.5466280873915248;0.5760336589087349;0.8551034496110941;-1.0;0.5759896141786004;-1.0;0.004698720039274978;0.007969265938531877;0.9595959595959597;1.0;0.042;0.0;100.0;2.0;;;;;;;;4066.375732976828;1.5536317377729598;2617.3356491839822;0.25284351928678284;0.4994774774774775;0.5323407120343405;0.5665896573330447;0.615359173580198;-1.0;0.5665446314908253;-1.0;0.052184307356377434;0.051761309519414635;0.6494227994227995;1.0;0.063;0.0;5.0;2.0;;;;;;;;3822.6039033816323;1.5536317377729598;2460.4311372147376;0.8351395586886632;0.4995975975975976;
1;;0.5392971461604166;0.6025707531145605;0.8730751804583984;-1.0;0.5477758143970046;-1.0;0.005574266107456291;0.009507575757575756;0.9827586206896551;1.0;0.04;0.0;100.0;2.0;;;;;;;;8133.894573253177;1.5216581307656487;5345.415247221442;0.4166848082125938;0.5716796796796797;0.4499513575996834;0.9468614170066069;0.6654692689335343;-1.0;0.9395350175997206;-1.0;0.05228758169934641;0.026143790849673203;1.0;1.0;0.008;0.0;5.0;2.0;;;;;;;;2700.47388373807;1.5216581307656487;1774.6915875113682;1.0;0.5877877877877878;
2;;0.6278492423110763;0.22705626454125638;0.8630154691574005;-1.0;0.20887832846248244;-1.0;0.005984406412996068;0.01231394437916177;0.9625850340136055;1.0;0.08;0.0;100.0;2.0;;;;;;;;12206.053657056422;2.589191888004123;4714.232928663101;0.5053472626661566;0.5075135135135135;0.583511787914663;0.4710024289956859;0.6229625410655037;-1.0;0.45856156999081155;-1.0;0.06313980453584615;0.11537862683228314;0.6340958605664487;1.0;0.091;0.0;5.0;2.0;;;;;;;;4566.357333059742;2.589191888004123;1763.6226014054585;0.891521616151312;0.505965965965966;
3;;0.5607481456199229;0.6176734731155539;0.859526654621589;-1.0;0.6039880331165728;-1.0;0.005004874763449094;0.00836238094643162;0.9464285714285714;1.0;0.038;0.0;100.0;2.0;;;;;;;;16283.051986591241;0.9491687640673917;17155.065150706047;0.40606202007085757;0.5190670670670671;0.48759350316023176;0.6162989501048363;0.6267925517799586;-1.0;0.6025643088318977;-1.0;0.03394718559439117;0.046423743394371386;0.6108350586611456;1.0;0.054;0.0;5.0;2.0;;;;;;;;3118.2263797845308;0.9491687640673917;3285.2180748366204;0.7717544308521455;0.519063063063063;
4;;0.6654672925671026;0.3940317541542314;0.8671056440116777;-1.0;0.3536957445103821;-1.0;0.005714196118812205;0.013025857492457691;0.9430894308943089;1.0;0.062;0.0;100.0;2.0;;;;;;;;20344.132652453343;1.4563372730001478;13969.382662673414;0.43847091235966906;0.5387927927927928;0.5299351939196757;0.6954885041497367;0.64614976526935;-1.0;0.6752188304209825;-1.0;0.05496755898197812;0.07130927719163013;0.85;1.0;0.045;0.0;5.0;2.0;;;;;;;;4852.390440523795;1.4563372730001478;3331.9139257677316;0.9009421622783798;0.5409069069069069;
5;;0.6455369835513685;0.2289564446521659;0.8621289246323732;-1.0;0.21363067094747634;-1.0;0.00525275846299853;0.00989010989010989;0.9629629629629629;1.0;0.078;0.0;100.0;2.0;;;;;;;;24172.75166488123;0.967484563170165;24985.1548904038;0.38080926439635854;0.5068988988988989;0.6895132561572275;0.10725276228324054;0.634452511655647;-1.0;0.08950792537248853;-1.0;0.07923421997434728;0.12147157403142025;0.7699123945489943;1.0;0.151;0.0;5.0;2.0;;;;;;;;3020.1000332148546;0.967484563170165;3121.600228244332;0.8573573786963177;0.5052532532532532;
6;;0.5512914246462952;0.647981089348378;0.8573891984304367;-1.0;0.6414981564129002;-1.0;0.0048442249685415;0.008170473179445237;0.9642857142857143;1.0;0.035;0.0;100.0;2.0;;;;;;;;28249.391834414524;0.0847897512813543;333169.88677883655;0.30585960632847753;0.512992992992993;0.6033486049561285;0.5306904139134248;0.6253800268690826;-1.0;0.5220474050280666;-1.0;0.055850531909807655;0.11892459767919392;0.7666666666666666;1.0;0.082;0.0;5.0;2.0;;;;;;;;3954.181875769678;0.0847897512813543;46635.13945982317;0.9106743788418865;0.516006006006006;
7;;0.469756442625911;0.7812611086749999;0.8526549004499767;-1.0;0.7808657640074078;-1.0;0.005302567556706047;0.007987938531062659;0.9444444444444444;1.0;0.022;0.0;100.0;2.0;;;;;;;;30287.304008560273;0.2989971836909988;101296.28525150573;0.45837473168967596;0.5005805805805805;0.4735412718044397;0.7112870682201997;0.617432698396981;-1.0;0.7107652537529479;-1.0;0.03446542609305133;0.03484420655530734;0.7321428571428571;1.0;0.039;0.0;5.0;2.0;;;;;;;;3508.416591465326;0.2989971836909988;11733.945277194078;0.8103459591938013;0.4998718718718719;
8;;0.5758701330121774;0.5406061768319197;0.8570503039046098;-1.0;0.5397079612520495;-1.0;0.006265957607423959;0.013836477987421382;0.9833333333333333;1.0;0.048;0.0;100.0;2.0;;;;;;;;22410.117642539262;3.309507139846705;6771.436560060508;0.5889250753585312;0.5011571571571571;0.4732409676302969;0.7959087002563233;0.6164155976726235;-1.0;0.7955096570478588;-1.0;0.04063323090430202;0.03377187651920273;0.7666666666666666;1.0;0.028;0.0;5.0;2.0;;;;;;;;3904.4878391741468;3.309507139846705;1179.7792463306187;0.8388631171374451;0.4996036036036036;
9;;0.6168913729786533;0.29715457908518406;0.8576607710276469;-1.0;0.29710387500240654;-1.0;0.005926179769542836;0.009929656680238912;0.9263565891472869;1.0;0.072;0.0;100.0;2.0;;;;;;;;12005.603147369535;5.962522708297968;2013.5106790723812;0.4763004041664732;0.4996036036036036;0.5332353381933488;0.8820311924578746;0.6191270694433477;-1.0;0.8820226820514541;-1.0;0.019952478289218412;0.015904572564612324;1.0;1.0;0.015;0.0;5.0;2.0;;;;;;;;3526.566545597946;5.962522708297968;591.4554489981342;0.9731862352791123;0.5001681681681681;
10;;0.5975098139896551;0.3738538014975997;0.8585572334745167;-1.0;0.373200753999554;-1.0;0.0055374360150028615;0.011945473544219626;0.9696969696969698;1.0;0.064;0.0;100.0;2.0;;;;;;;;14290.532632307943;3.212203924019364;4448.824847466874;0.42625141388306476;0.5001721721721721;0.6673598621142396;0.4809833335370214;0.6161331434346324;-1.0;0.4804420182079683;-1.0;0.050643645485038795;0.12682705929509247;0.6833964646464646;1.0;0.09;0.0;5.0;2.0;;;;;;;;3316.9795693019237;3.212203924019364;1032.6179930542692;0.8534908080419723;0.5016976976976977;
11;;0.6029642835287736;0.39540248823685464;0.8585062047779758;-1.0;0.390822713156444;-1.0;0.005782563553921218;0.010253804669621853;0.9401709401709402;1.0;0.062;0.0;100.0;2.0;;;;;;;;14955.014556383709;3.1981036132959724;4676.213270329612;0.49685036909818125;0.5056216216216216;0.45589095700664395;0.9894527064039043;0.6163884125891208;-1.0;0.9893728115458584;-1.0;0.0036231884057971015;0.0018115942028985507;1.0;1.0;0.001;0.0;5.0;2.0;;;;;;;;2933.9962497041965;3.1981036132959724;917.4175087718355;0.5;0.5045045045045045;
12;;0.6378762564885124;0.23723558151478252;0.8586760029420641;-1.0;0.2372157730255431;-1.0;0.009298610384927986;0.01972549019607843;0.9052083333333333;1.0;0.084;0.0;100.0;2.0;;;;;;;;18234.928501458704;6.013631247488223;3032.265822596801;0.6724402547491773;0.4998738738738739;0.47303054579880643;0.9002167461846524;0.6171922565413817;-1.0;0.9002141548793141;-1.0;0.023723865877712032;0.021700150462692268;0.8333333333333333;1.0;0.013;0.0;5.0;2.0;;;;;;;;5271.837963330988;6.013631247488223;876.6480261876603;0.9484078588554122;0.4998718718718719;
