Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;
1;;1.0;1.0;-9.339801278705393;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-9.339801278705393;-1.0;1.0;;;;;;0.0;0.0;
2;;0.9205274847941867;0.9949355104248225;-7.887230601057217;-1.0;1.0;;;;;;0.03021127473100001;0.0;1.0;1.0;-8.20015760498387;-1.0;1.0;;;;;;0.0;0.0;
3;;0.8132232380882947;0.9806339398045051;-6.802270233740967;-1.0;1.0;;;;;;0.116014506871;0.0;1.0;1.0;-8.322511148429419;-1.0;1.0;;;;;;0.0;0.0;
4;;0.577085194181211;0.907681411310345;-3.814192670453612;-1.0;1.0;;;;;;0.5171595653480002;0.0;1.0;1.0;-8.629152330381293;-1.0;1.0;;;;;;0.0;0.0;
5;;0.5241775378117339;0.8401817181538822;-2.488784269945598;-1.0;1.0;;;;;;2.280536676362998;0.0;1.0;1.0;-8.163870830716697;-1.0;1.0;;;;;;0.0;0.0;
6;;0.6086321133029298;0.8554351517082368;-2.8627078089888705;-1.0;1.0;;;;;;4.231251438281002;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
7;;0.6261256699971549;0.8973004330036882;-3.664170457485474;-1.0;1.0;;;;;;5.228772208994997;0.0;1.0;1.0;-7.983796260728393;-1.0;1.0;;;;;;0.0;0.0;
8;;0.5296171154758342;0.8052035417107533;-2.2056601936449542;-1.0;1.0;;;;;;6.048889596986999;0.0;1.0;1.0;-7.985269576493726;-1.0;1.0;;;;;;0.0;0.0;
9;;0.4757557282173954;0.6576504621700116;-1.1106980810663911;-1.0;1.0;;;;;;5.334491011391998;0.0;1.0;1.0;-7.966503227883834;-1.0;1.0;;;;;;0.0;0.0;
10;;0.45466961546160767;0.5362245016516106;-0.6460690934056867;-1.0;1.0;;;;;;7.315393065012002;0.0;1.0;1.0;-7.976178231808593;-1.0;1.0;;;;;;0.0;0.0;
11;;0.9773581139282259;0.9723984529740738;-6.411595291780256;-1.0;1.0;;;;;;3.0649121657940017;0.0;1.0;1.0;-8.041274258794745;-1.0;1.0;;;;;;0.0;0.0;
12;;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;
13;;0.9739213315267324;0.9992731705308574;-7.939899006911993;-1.0;1.0;;;;;;0.001557247722999999;0.0;1.0;1.0;-7.965899306996825;-1.0;1.0;;;;;;0.0;0.0;
14;;0.6052393406278014;0.938433761984661;-4.626129516415214;-1.0;1.0;;;;;;0.2029976033540001;0.0;1.0;1.0;-8.126374297423563;-1.0;1.0;;;;;;0.0;0.0;
15;;0.5089294246237194;0.736772083582188;-1.6198241888115907;-1.0;1.0;;;;;;1.0741474875470005;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
16;;0.522115784570477;0.6645608305821384;-1.1884222418711734;-1.0;1.0;;;;;;3.3716436935659995;0.0;1.0;1.0;-8.571721653944921;-1.0;1.0;;;;;;0.0;0.0;
