Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;;;;;;;;;;;;;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;
1;;;;;;;;;;;;;;1.0;1.0;-9.339801278705393;-1.0;1.0;;;;;;0.0;0.0;
2;;;;;;;;;;;;;;1.0;1.0;-8.20015760498387;-1.0;1.0;;;;;;0.0;0.0;
3;;;;;;;;;;;;;;1.0;1.0;-8.322511148429419;-1.0;1.0;;;;;;0.0;0.0;
4;;0.5791098182725042;0.9068189730387355;-3.7942033758000058;-1.0;1.0;;;;;;0.5211658745700002;0.0;1.0;1.0;-8.629152330381293;-1.0;1.0;;;;;;0.0;0.0;
5;;0.5241189009991141;0.8434469079162037;-2.539850336803866;-1.0;1.0;;;;;;2.3091635501379972;0.0;1.0;1.0;-8.163870830716697;-1.0;1.0;;;;;;0.0;0.0;
6;;0.6039743732401295;0.841588814237302;-2.6551546694648307;-1.0;1.0;;;;;;4.723062039294009;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
7;;0.6264469430166583;0.8936822132178617;-3.5895318845216915;-1.0;1.0;;;;;;5.571163676374998;0.0;1.0;1.0;-7.983796260728393;-1.0;1.0;;;;;;0.0;0.0;
8;;0.5441185218477567;0.824344658197912;-2.4319214538752307;-1.0;1.0;;;;;;5.814278643028999;0.0;1.0;1.0;-7.985269576493726;-1.0;1.0;;;;;;0.0;0.0;
9;;0.4721808926811403;0.6469503722333869;-1.0605281021157342;-1.0;1.0;;;;;;5.387018102748001;0.0;1.0;1.0;-7.966503227883834;-1.0;1.0;;;;;;0.0;0.0;
10;;0.4568757781766035;0.5471642828870709;-0.6749603033213671;-1.0;1.0;;;;;;7.463827337986998;0.0;1.0;1.0;-7.976178231808593;-1.0;1.0;;;;;;0.0;0.0;
11;;0.9772540128536698;0.9726680958964028;-6.438279476666858;-1.0;1.0;;;;;;2.4391853845220015;0.0;1.0;1.0;-8.041274258794745;-1.0;1.0;;;;;;0.0;0.0;
12;;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.966043089511855;-1.0;1.0;;;;;;0.0;0.0;
13;;0.9739213315267324;0.9992731705308574;-7.939899006911993;-1.0;1.0;;;;;;0.001557247722999999;0.0;1.0;1.0;-7.965899306996825;-1.0;1.0;;;;;;0.0;0.0;
14;;0.6052393406278014;0.938433761984661;-4.626129516415214;-1.0;1.0;;;;;;0.2029976033540001;0.0;1.0;1.0;-8.126374297423563;-1.0;1.0;;;;;;0.0;0.0;
15;;0.5271348322344214;0.7431498797923053;-1.6718630348609977;-1.0;1.0;;;;;;1.0512163079159997;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
16;;0.5092282643856666;0.6531244742330375;-1.1364943811626795;-1.0;1.0;;;;;;3.2519978277899995;0.0;1.0;1.0;-8.571721653944921;-1.0;1.0;;;;;;0.0;0.0;
17;;0.9462375242832692;0.9542443667401296;-5.457387662557913;-1.0;1.0;;;;;;2.288042186794999;0.0;1.0;1.0;-8.184203183819971;-1.0;1.0;;;;;;0.0;0.0;
18;;0.9983511545645145;1.0;-8.578809925022682;-1.0;1.0;;;;;;0.03044774320699999;0.0;1.0;1.0;-8.61935930974555;-1.0;1.0;;;;;;0.0;0.0;
19;;1.0;1.0;-7.967625034335905;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.967625034335905;-1.0;1.0;;;;;;0.0;0.0;
20;;1.0;1.0;-8.056976892445046;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.056976892445046;-1.0;1.0;;;;;;0.0;0.0;
21;;1.0;1.0;-9.763951182951983;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-9.763951182951983;-1.0;1.0;;;;;;0.0;0.0;
22;;0.9989698318059901;1.0;-8.119948669284744;-1.0;1.0;;;;;;0.0014208578339999973;0.0;1.0;1.0;-8.121980015684898;-1.0;1.0;;;;;;0.0;0.0;
23;;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;
24;;1.0;1.0;-8.425598729462289;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.425598729462289;-1.0;1.0;;;;;;0.0;0.0;
25;;1.0;1.0;-8.063687241608411;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.063687241608411;-1.0;1.0;;;;;;0.0;0.0;
26;;1.0;1.0;-8.205611367846275;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.205611367846275;-1.0;1.0;;;;;;0.0;0.0;
27;;0.9652113818385145;0.9972580894396108;-8.101762277662386;-1.0;1.0;;;;;;0.03975638888099999;0.0;1.0;1.0;-8.205611367846275;-1.0;1.0;;;;;;0.0;0.0;
28;;0.9990877812176189;0.999392543403418;-8.38041632909446;-1.0;1.0;;;;;;0.006866671516000003;0.0;1.0;1.0;-8.394611591865145;-1.0;1.0;;;;;;0.0;0.0;
29;;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.28925159707638;-1.0;1.0;;;;;;0.0;0.0;
30;;1.0;1.0;-8.409948790108066;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.409948790108066;-1.0;1.0;;;;;;0.0;0.0;
31;;1.0;1.0;-8.158954057060644;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.158954057060644;-1.0;1.0;;;;;;0.0;0.0;
32;;0.9856032532407405;0.9988327519143618;-7.98769122832779;-1.0;1.0;;;;;;0.010616803242000003;0.0;1.0;1.0;-8.024435537995686;-1.0;1.0;;;;;;0.0;0.0;
33;;0.9097521136739478;0.9959212107905403;-8.082612476411215;-1.0;1.0;;;;;;0.08837244315499997;0.0;1.0;1.0;-8.36486311904169;-1.0;1.0;;;;;;0.0;0.0;
34;;0.9625738698333264;0.9959372352570377;-7.751826174464888;-1.0;1.0;;;;;;0.145843749314;0.0;1.0;1.0;-8.149318490387959;-1.0;1.0;;;;;;0.0;0.0;
35;;0.9934331583301811;0.9994125611806997;-9.119102788206767;-1.0;1.0;;;;;;0.04066479483199999;0.0;1.0;1.0;-9.216388507481806;-1.0;1.0;;;;;;0.0;0.0;
36;;0.9908614869767867;1.0;-8.602060868288936;-1.0;1.0;;;;;;0.019318888205999984;0.0;1.0;1.0;-8.659071953892045;-1.0;1.0;;;;;;0.0;0.0;
37;;1.0;1.0;-8.78713208061474;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.78713208061474;-1.0;1.0;;;;;;0.0;0.0;
38;;1.0;1.0;-7.995337095936989;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.995337095936989;-1.0;1.0;;;;;;0.0;0.0;
39;;0.9811073612600341;1.0;-7.9967562773592284;-1.0;1.0;;;;;;0.017618214320000002;0.0;1.0;1.0;-8.05051242297679;-1.0;1.0;;;;;;0.0;0.0;
40;;1.0;1.0;-7.993512675524299;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-7.993512675524299;-1.0;1.0;;;;;;0.0;0.0;
41;;0.9981497548354928;1.0;-7.95130821708462;-1.0;1.0;;;;;;0.00861518057099999;0.0;1.0;1.0;-7.9668196033580205;-1.0;1.0;;;;;;0.0;0.0;
42;;1.0;1.0;-8.001163351162365;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.001163351162365;-1.0;1.0;;;;;;0.0;0.0;
43;;1.0;1.0;-8.508653656395188;-1.0;1.0;;;;;;0.0;0.0;1.0;1.0;-8.508653656395188;-1.0;1.0;;;;;;0.0;0.0;
44;;0.9872822106985959;1.0;-8.070267809585824;-1.0;1.0;;;;;;0.01859122956499998;0.0;1.0;1.0;-8.135356799740038;-1.0;1.0;;;;;;0.0;0.0;
